product,reviewer,influence,comment,text
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Prabidhi,299,90,Such a useless and unreliable product that you would need another thermometer to verify if it’s showing correct reading or not. Shame!!! I am so shock that it is number one bestseller and has so many five stars. It’s not worth a single star.
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",ledahu,406,1,"Not satisfied at all. Device returned.Thermometer could not be switched to celsius,virtually no instructions.Refund still in limbo two weeks after confirmation.Previous experiences with iHealth were great,however with the Lab= the worst they can be.Don't expect an order from me in the futur. Why does iHealth sell this product via the lab.for such poor service"
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Netta H,222,26,I can’t get my thermometer to work. I followed the directions and it still doesn’t work. It will come on but it only takes a temp 5% of the time and it’s definitely not accurate. Says my temp is 94.4 and then immediately after its 97 or above.
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",M,111,32,"I have purchased & used a variety of thermometers throughout the last 2 months: ear, forehead, oral, touch & non-touch kinds. This one is quite accurate (I have compared the temperature to my oral & the ear ones), & extremely fast, less than a second for a reading. I love it, because it is the only one that's non-touch yet accurate. Easy to use too, with no waiting for a reset. Overall a great buy, esp for this price. The touched forehead thermometer that I purchased before this one was almost twice the price, & there's a wait for the reading."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Steeler Nation in Seattle,2866,43,"Simple setup, easy to use, clear read out, accurate (compared to another skin probe), resets within seconds, family fighting over who gets to try it out next . . . completely disagree with another reviewer's comments, this worked perfectly holding a few cm away from skin surface at the center of the forehead 10 out of 10 times. Shipped in sealed authentic US packaging which was also reassuring."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Laura Dorrell,34,15,"We are using this at our clinic it is a go-to for our nurses, their favorite thermometer to take temps. The shipping was surprisingly quickly then what they for predicted. Highly recommended."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Melissa C.,79,11,"The first issue that I am having with this iHealth PT3 thermometer is that is will not read the temperature at the recommended distance in the instructions. I have only gotten a read by touching it directly to the skin. My husband and I have attempted multiple times, starting about an inch away from the skin and gradually moving closer and trying again. Secondly, in the product description on Amazon it specifically states, ""FDA cleared"" but in the actual user's manual it specifically states, ""The device is not FDA cleared."" False advertising."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Chuck Pelto,915,418,Inaccurate. Off by half a degree when compared to accurate old mouth thermometer. Sending back as defective.  UPDATE [2 Aug 2020]: I could calculate what my temperature was based on this device being consistently off by half a degree.  NOW it's telling me my temperature is around 92.4°F. THAT'S RIDICULOUS!!!!
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Scott Field,128,15,"This thermometer has readings ALL over the place. I was expecting the readings to be a little lower than actual temperatures given that its contactless and not an internal body temp measurement. But the readings are almost always well over 100 degrees (on multiple people and dozens of attempts). I've followed directions regarding placement and tried variations, as well. It's NOT useful. What a WASTE OF MONEY."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",George Kramer,1303,50,Really inaccurate thermometer. I had better expectations from Xiaomi whom I believe is the manufacturer of this product. It's consistently about 1-1.5 degrees Fahrenheit higher than the doctor's office. Which IMHO is not acceptable. Sadly my return window is up and I am stuck with something that literally cannot even be used as a paperweight.
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",M. Anderson,56,17,"I've only had this thermometer for a week and no one has been sick in our household but here is my experience with this device. This is the easiest thermometer that gives the quickest reading hands down of any thermometer I've ever used. I've tested it on 4 different people (different age groups) in my household including myself. I've taken my temperature about 8 times this week just to practice and test the device out. The temperature readings have always been between 97.9 and 99.2 which seems normal - I don't have another thermometer to compare these numbers against, but the range is close enough for my family. The manual came in several languages but English was the primary language. The device is very easy to use - just aim it at the bridge of your nose between your eyebrows, press and hold the button, wait for the device to vibrate, and then look at the reading. My only complaint would be that I wish it came with a small pouch to put the thermometer in. It's not really a big deal - we keep ours in the medicine cabinet but since it's not a device that's not used very often (only when someone's sick or not feeling well), it would be nice to have a small pouch to keep it stored in. Overall, this is an amazing thermometer that works as advertised. I would highly recommend this device if you are in the market for a no touch thermometer."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",J. Russell,22,5,"This is exactly what I was looking for, for work! I am a hospice nurse and my patients can be agitated, with thin skin and many diseases. I don’t have to touch them or bother them when they are sleeping. Easy to clean and I love the sharp clean look."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",john,66,24,"Though it's just one button and seemingly simple enough to operate. Most people become frustrated with getting this to work. No one should need to read instructions for something so simple unless for changing settings like celcius or fahrenheit.  I purchased several of these for the company I work for and use it to test employee temperatures. I still haven't read how to operate it but I got it right away. I had to explain this (without reading instructions) to 80% of the users - 1) push button to turn it on 2) get it really close to your forehead (like an inch), 3) push and hold button until it vibrates...done!  I believe you have to get so close is because it seems to be very directional. If it's flat purple cap isn't parallel to the forehead, it won't read. I think the angle of the handpiece in relation to the scanner head causes some people to hold the handle parallel to the face, therefore causing the scanner to be slightly pointed to the sky.  Once I get people to see how simple it is to use and keep them from throwing it on the floor, it's all good times.  Good thing it's not a heart rate or blood pressure monitor because everyone would fail.  One reason I was hesitant about purchasing this was because of the apparent lack of contrast on the display. White character read-out on a white body and a white screen seems counter intuitive but there is NO problem with this display. It reads loud and clear."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",zr1tom,27,21,"I chose a Top Rated Consumer Approved No Touch Digital Thermometer. 117,000 Consumers Rated this Thermometer a Positive Review, a 4.6 out of 5 Stars. Overall Consumer Rating Group Size was Accomplished by Almost 121,000 Consumers. The majority of its Ratings was very Positive. I also purchased an Oral Under the Tongue Thermometer, which was also Highly Approved by Consumers (Over 70,000 Consumer Rated). The No Touch Thermometer was very quick in obtaining my Forehead Temperature. Tested the Thermometer 50 times over a 2 week period. All temperatures were obtained within a 1 to 2 second time frame and was lightning fast. I also Used my New Oral Thermometer as a Backup Reference. Both the No Touch Digital Thermometer and the Oral Digital Thermometer were within .1 of each other. In fact, most of the readings compared with each other were Exactly the same. I will admit I studied at least 20 various Digital Thermometers over a 3 month time frame. All have in common the same complaints, They take too long to display a reading, They are Not Accurate, They Quit Working after a Couple of Months. My Reasoning States, Find any item you want to purchase and then look at the Largest Consumer Group that Rated the Desired Item. Discover What Ratings they gave the Item. Read the Good and Bad Reviews on the item. In the End, as in my case, 117,000 Consumers Out of Almost 121,000 Consumers, Rated the Thermometer 5 Stars, I feel the Product is Probably Worth Owning and Trustworthy. Of Course Life as Well as Consumer Products can be Lemons. If this Happens to you, exchange for another product. So far the Thermometer is Functioning Perfect! I am Very Happy with my Purchase Overall!"
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",C. Baldwin,102,5,"I bought this product because our old thermometer broke and this had some great reviews.i was excited to find one that you didn't have to touch to the forehead that had great reviews. I'm not sure if we got a dud, but ours is consistently not giving the right temperature. I know we are not running at 96.3 all the time. I'm very disappointed in the accuracy of the product and still looking for an accurate thermometer."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",ANGRY AF.,11,2,"I'm a registered nurse and much appreciate the value of an oral thermometer. I want the measurement to be accurate. I'm not here to be right, I""m here to get it right. Facts:  1. I can measure my forehead in the same area within 2 minutes of one another and receive the following readings: 101.5, 98.7, 99.6... 2. Oral temperature reading at same times were: 98.4, 98.4, 98.3 3. Thermometer is not accurate. Don't waste your money. 4. When checking the same area at the same distance back to back to back, the readings are 98.5, 98.6, 98.6; I am not convinced this doesn't just follow a pattern based on time in between scans. I would not recommend."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Jill Brennan,17,14,"Right out of the box works amazing and super easy! Arrived in a few days during covid, so we were very lucky to get it so quick! It’s sleek and cool looking lol not that it matters at all for a thermometer but it is cool. It works on me, my husband, my son. And I can take temps while little guys asleep. This temp I took about 4 times because I was trying to take a picture. Only advice is hold it close, don’t need to touch but close. It’ll vibrate and boom, 1 second read!"
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Loral,319,269,"Bought this after my wife told me none of our old digital under the tongue thermometers don't work anymore. If I had rated this 10 days ago, I probably wouldn't rate too high. Initially, we had problems getting this thing to work. About one out of 4 tries, it would work. The manual text is so small, I don't know if anyone can read it. The real trick is to place right between your eyes and raise an inch, then press the button. It still will not read my wife's temperature. I just tell her ""you're dead"". But, it did seem to work accurately, despite the negative reviews. After my fever passed, it has read within a 1/10th of a degree at 98.6. Easy to read, it the dark or in light. Feels comfortable in the hand. Lightly vibrates when ready to read, if you're checking your own temp. Also, read a review about it being expired. I have no idea why a digital device would have an expiration, but mine is about 3 years from now. Nice to have around, and a good price."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Amazon Customer,14,2,"Out of 9 thermometers i purchased for the company, this is the only product that is accurate and last long. All thermometer from China does not last more than a week use."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",J. L. Strouble,279,24,"I love this little no-touch forehead thermometer. I bought it for a family member who is almost 99 years old and in hospice. She has coughing and gagging issues so an under the tongue thermometer would be difficult for her to use. It's smaller than I thought it would be, very sleek and ergonomic and not bulky at all. It's very easy to operate and easy to read. It takes a temperature within seconds. There are no ""bells & whistles"" (like a memory of past readings or a storage case), which is just what I wanted. These IR thermometers are pricey but this one is very reasonable compared to the other choices. I can't speak to the accuracy because we had nothing to compare it to, but I took reading after reading on everyone who stopped by the house and they were all within reason. Sometimes it seemed to get stuck on one reading for three consecutive tries on different people, but then the fourth would be a different number. All my ""subjects"" were sitting at rest in close proximity and this is a skin temperature reading, not an internal reading, so it's quite possible that, at normal body temperature, the ambient temperature would exert an influence on everyone's forehead and yield a similar temperature. I'm going to assume that it's accurate enough to tell the difference between a baseline temp and a fever but if I were reporting an elevated temperature to any medical personnel I would make sure they understood that it's a forehead reading. I would highly recommend this model to anyone who needs an IR thermometer."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",the-big-bend,1453,196,"There are those that look like a pistol which promises more functions. However they all tend to be bigger and more expensive. This one is small making it easy to store in the medicine cabinet and carry with you on a trip. It is simple and quick to use and looks nice and elegant. I assume one must operate it correctly to ensure consistency and accuracy. I measured myself three times and the variations were less than 0.2 °F within the spec. I use it to monitor my temperature in the time of COVID-19 even at home as per my company's guideline. This thermometer makes this daily task a breeze.  A few things to add after reading some negative reviews: First, as you compare this to your ""old and trusted"" existing thermometer, do not assume the existing one is more accurate. For one, your ""other"" thermometers most likely do not measure temperature at the forehead so they will return different readings. Second, I am a biologist and know scientific thermometers from different brands/batch can vary temperature readings by as much as 1.5 °C. The mercury ones are more accurate. So the key is to establish your baseline and then assess whether your current reading is substantially above. No matter which part of your body you measure, >100°F indicates fever. Finally you have to point this at the same spot to get consistent reading. The instruction also says the optimal distance to your forehead is about 1 inch."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",lotsaresearch,73,100,"This is easy to hold and feels good in your hand. The readings seem very consistent and are easy to read. I have trouble hearing high pitch sounds so the vibration this emits in your hand when the reading is confirmed works great for me. Although most of the no touch thermometers seem to have a switch to turn off the sound, if you do that then seeing the display is the only way to know the reading has been made. If you’re checking your own temperature you’d need to stand in front of a mirror to confirm a reading. Or if you’re checking a child’s temperature in bed the vibration would be convenient to know the temperature has been recorded. This doesn’t store temperatures so if you think that’s important you might want to get a different thermometer.  Edit: I liked the first one I ordered so much that I bought 3 more for all the members of the family. It is so much easier to pick it up and check your temperature easily in these days of Covid. I never knew my temperature was so consistent. Although it seems to be about a degree low, I’ll definitely know if my temperature starts going up. Love it!"
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Christina Anderson,10,29,"I purchased this thermometer to self monitor my family with the panedemic. Per CDC and the ask of the school we take daily tempertures. It caught my covid. I had a consistent daily temp of 97.3 which by definiton is normal.  Googled At MGH, the TAT is set to ARTERIAL or CORE mode, so a normal temperature is 97.4 -100.1°F. TAT is set to CORE temperature; therefore results are NOT comparable to an oral temperature and are NOT interchangeable with oral temperatures. Precision of the TAT is driven by proper technique.  The day my temp registered 99.1 I knew I had been exposed to something.  The thermometer is easy to use. I had purchased a second thermometer for my 82 year old dad to self monitor too. His base line is a bit higher so it is important to establish a base line for each family member."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Bloveshia,446,30,"I have a baby and a toddler in my house who have to go to daycare and get sick often because of it. For that reason, I already have one thermometer that reads by touching and dragging across the forehead for a reading. At the time I thought this was the best option for little ones but it’s readings are so different each time, even when I use it back to back (from 99.5-104.2 sometimes!) Those are vastly different and one scarier than the other! So I decided to get another thermometer. I usually buy products based off of reviews. Honestly there were mixed reviews on this one. But you always have to take reviews with a grain of salt meaning that most people won’t leave a review unless they’re upset or super love it. And many people may love a product but don’t want to take the time to leave a review beyond giving it a star-rating. But I kept doing research on other thermometers and found they all had mixed reviews. So I took a chance on this one because of the features offered. I loved that it’s touchless (thinking Covid). I loved that it didn’t beep when it was complete (thinking of a sleeping child). (It even comes with its own batteries-it’s the small things right?) But most importantly are the readings. Right now my children are healthy. When I tried it out on them, not only was it consistent, but it was accurate! And it read differently on each of us, again all in the normal realm but it changed between each of us but kept the same reading as the last time that forehead was scanned. So right now, this product has my full confidence. I’ll update this post if I find otherwise. I would recommend trying this one out if you need a thermometer for a young child or just need a good touchless thermometer for Covid reasons."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Jennifer H.,37,11,Initially I was impressed with this thermometer. But it seems to go through batteries ever few days. It won’t work with my rechargeable AAA’s and regular AAA’s only last a week. I plan to contact the seller to for a replacement or return. —— Update: Received response back same day that the thermometer is defective and they have sent a replacement. Excellent customer service. Changed from 2 stars to 4 stars.
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",The Great,204,93,"I'm a floor nurse...took this to work to use as my primary thermometer...and to give to my awesome nurse aids...they love it. It's super fast, accurate...to be true my aids haveNy more hours with it then I do. All that said it's made it's way to the managers office and they be ordering enough for the whole floor.."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Dave,6,19,"All thermometers are a little subjective... meaning, there are a few different ways to actually measure your body temperature, and this devices uses only one of those methods - it’s measuring the IR temp of the temporal artery in your forehead. But the most important and WONDERFUL thing about this thermometer is that it is extremely consistent!! (When isolating, due to Covid-19 symptoms, I used 2 different thermometers and always got erratic and Highly questionable measurements. It made me a little crazy for a while. Until I got this device I couldn’t be sure what my temp was. Using this device my measurements were consistent from one measurement to another... maybe +/- 0.5 degrees - which is pretty darn good. When it indicated a decreasing temp, and I measured 2 or 3 more times just to be sure, it always measured the same temp, validating that my temp was indeed going down... likewise when it increased). Apparently some thermometers (the more sophisticated ones) attempt to make corrections to forehead measurements to estimate, or simulate, core temperature - this one does not. Generally speaking, so I’ve read, forehead measurements with devices like this one are about 1 degree lower than core temp; but that’s OK if you know that’s what you are seeing. In our household, when everyone is well, this device measures between 97.1 and 97.3 degrees F (a little more than 1 degree below average body temp of 98.6F). That body temp can vary between age groups, activity, time of day, metabolism, environment, etc - it’s important to know what normal is for your family ahead of time. I recommend that you measure known healthy people in your household BEFORE judging weather someone has a fever or not. In other words, find out what normal temp is in your household, before you put your faith in (any) device. For our household I add about 1 degree (1.3 degrees to be more precise) get a more realistic estimate of (core) body temp. So when I get a measurement of 97.3, I know that’s “normal” around here. But, if I get a measurement of 98.6 with this device, I have reason to believe That it’s really 99.9 degrees F... possible cause for concern. Of course I would monitor it closely to see if it goes up another 0.5 degree, which would be 99.1 as measured on this device, and , hence (99.1 + 1.3), closer to 100.4 actual core body temp; which would officially be a fever. Note... This is the same device they use at Kaiser Permanente when you walk through the door to go to the pharmacy, or whatever (along with a very sophisticated and much more powerful device that measures everyone from a distance); Kaiser got EXACTLY the same measurement (97.3 F) of my temperature, with the same device, that I got with ours at home. That’s a powerful endorsement!"
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Eyal Novotny,128,36,This product does not show accurate temperatures over 98.6 degrees. I’m fact it doesn’t show accurate temperatures at any range. Don’t waste your money.
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",douggie-com,143,97,"I bought this to check our temperatures at home every morning. My wife works in a small shop where they have a similar, but more expensive unit to check the employees. With that one, her temperature ranges from 93 to 99 degrees even when the readings are taken just a few minutes apart. With out iHealth No-touch, the readings are consistent. I know what my temperature normally runs, and fortunately the iHealth readings always come in around the right area. With the iHealth I can trust that we're all OK, and that we'll know when we're not. The bad new - , my wife took our iHealth to her shop so that everyone there could get correct readings, and now I have to buy another one."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",MsLZ,254,191,"I love this product. However, let me save you the learning curve, when you press it that seems to turn it on, to take your temperature, you must press it again. Then the results are immediate. The instructions are tiny, difficult to read and indicate to press the button. Instructions do not indicate whether to press and hold the button. In fact, press it once briefly, release it, then press again. So actually 2 presses. Super easy, once you figure that out."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",James,3,11,"Our old flex-stem thermometer gave out and we needed a thermometer that would work for our new grandbaby as well as adults. The iHealth brand is what our doctor's office used and the reviews for this model looked good. I can't speak to absolute accuracy since we don't have another thermometer to compare with this one, but it reads within a few tenths of a degree of what I would expect on a healthy person. Perhaps even more importantly, it reads consistently within a couple tenths on subsequent checks. The thermometer is not overly sensitive to position or distance from the forehead, which is very important when attempting to check an infant that won't hold still. The device is easy to use, met expectations, and is reasonably priced. Glad I went with this model."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",William Massie,5,11,"I have a 15 month old, and we have gone through three thermometers trying to find one that works for us. Last night we took our son to the ER because this thermometer read 104-105 several times in a batch of about ten readings (I think sometimes you get a low reading/normal reading from user error). Once we got to the ER and he got a rectal temp (maybe half hour later), that reading was 105.4. So I feel safe in knowing this thermometer can read the right temp, you just have to take several readings, and whatever the most consistent, highest reading is, is most likely his temp. The reason we were even able to get my son's temp, unlike with our first normal oral thermometer (our second thermometer was a forehead one that just read the same number over and over), is because this one reads in literally a second. You don't even touch his forehead, it vibrates, and you get a reading. Our son struggled with us at first with it, being all curious and wanting to grab at it, but being such a quick and easy way to temp he finally gave in to letting us temp him without obstacle. Definitely recommend this thermometer."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Jay R.,4128,1760,"This was purchased for use at work to monitor employees, and it's been great. The temperatures displayed when using the thermometer correctly (as in: read the manual people!) are confirmed against two other digital laser temperature checkers we use daily for machinery purposes. The only reason why I give it 4 instead of 5 stars is because in some brighter light the white LED on white background of the display can sometimes be hard to read quickly."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",P Reed,45,92,Very easy to use and fast results! I got this because I’ve thrown away two digital thermometers that didn’t work accurately. I finally but the bullet and bought this with the COVID19 I feel better having an accurate thermometer. I feel that this is a little less than 1 degree off. 97.8 when I used it but much better than the digital ones which were telling me my temperature ranged from 95.2 to 101 when I didn’t even have a fever! At 95.2 Id be dead! I like there’s only one button so no confusion as I’m a senior. I’m glad I spent the money on this! It’s important to have handy with COVID19 I received very fast! Thank you!
