product,text
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","Had great expectations about this mount since, by some strange reason, has great reviews. Only lasted a couple of days! The main hold snapped out dropping my phone to the ground! After contacting the company explaining what happened and how my screen shattered in millions of pieces, the best they could do was to refund me for the faulty mount. They never even offered to replace my screen or phone. Very disappointing!"
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","Product is great works very well until it broke( one of the arms came off the spring inside ) . Company claims lifetime warranty but that does not appear to be the case... I have been in contact with "" Bernadette "" who will email me back 1 to 2 days after I've emailed her at 1:00amCST IF I'm lucky and is not helpful. I followed all the instructions on the website and package as far as registering the warranty. they will reply until it't time to actually send the product out. WILL NOT PURCHASE AGAIN I'd rather pay a few more bucks and deal with someone who stands behind their warranty statement."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机",Play Video  Very easy to install and to adjust for riders preferences. I am tall so I need to be able to adjust the angle of my phone differently than someone shorter than me. I like that I can move the phone to where I can see it. Depending on the day and direction I am riding the sun will hit the phone and makes it hard to see. With this mount I can adjust it on the fly in order to see the face of my phone. The holder fits my S9+ with the otter box on. I do have to install the straps in a kiddy corner pattern; one top corner and the opposite bottom corner then repeat. Alot easier than trying to put both top corners over the phone than the 2 bottom corners. Easy to remove and install the phone when I get on and off the bike at stops. It is very secure and does not bounce around. It also comes with a registered Lifetime warranty. I added a accessories bar because my bike has sloping handlebars that narrow as they slope. It lifted the phone holder out of the way of my other displays.
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","Just got this and was excited. Before install as I tried to clamp my phone, one of the springs on the clamp fell right off. Tried to reattach the spring to no avail.  Decided to continue since the silicon straps would be good enough. The tension knob to tighten the swivel ball couldn't be tightened enough to hold the unit at a specific angle (didn't try any tools at risk of breaking it). It was almost tight but not quite. Went out for a short ride to try it out, and the phone kept swiveling at different angles.  Very disappointed. I guess I got what I paid for. :("
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机"," I am happy with this purchase, I got this mount for my electric bike and took it for a ride. It seemed to hold up pretty well. The mount comes with two elastic replacements of different sizes, which comes in handy if you have different size phones. I use a pop-socket glued to my phone case so I found the elastic quite useful and made me feel safe that my phone was not going to go off flying while I am riding on bumpy roads. The mount uses a horizontally adjustable clamp that holds your phone and a silicone elastic band for double security. Consider buying this mount if you plan to have it permanently on your bike, not a good idea if you are planning to use the same mount for different bikes. I hope the video helps (product not sponsored) !!"
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机",I attached this to my Triumph and when I came down the next day it was in pieces.  The reason is that I overtightened the clamp. The clamp is metal. The mount is brittle plastic. It doesn't take a genius to figure out what could happen.  I didn't lose a phone. Really just out $10. But I'd be furious if this happened on the riad
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机",We bought two of these. One each for my wife and I. The price was right and I was planning on using it on a trainer only. Why? Well frankly I didn't trust the rubber bands to hold my phone in an active and windy world. I still haven't but my wife has. Her first time out this year she hit a sandy spot and went down. Her phone never left the mount and survived unscathed. I was mildly impressed as she and her bike were not so lucky. The bracket is made so that it will fit skinny or very fat handlebars. It holds the phone tight enough that I don't worry about the mount creeping and having to manually adjusted at some point during the ride.
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I bought this for my Yamaha FZ-09. I read the reviews and it seemed awesome. I bought this bake in May and barely two months later of mild use it's entirely broken apart. Within the first two weeks of owning it, the rubber strap broke on it. I thought maybe it was defective, and I tried to use the other similar size strap and that one broke as well. Finally decided to use the larger of the provided straps and that one seemed okay, but it would have way more play and the straps would slowly move back as if it was going to drop the phone eventually at speed. So I downgraded to the smaller strap again and haven't had any issues until this morning. I went to go for my normal ride, got my phone out and pulled back the little plastic claps on either side and POP! The lower half broke off entirely. Looks like the spring inside broke as well. I probably used this thing maybe a total of 20-25 times in the past 2 months because I really only have it for GPS purposes. Anyways it's failed my test, and it's pretty unsafe to have for a phone in my opinion."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I contacted the supplier and explained that the mount didn't seem to fit my BMW F800GT handlebar. The supplier's response was prompt and hassle free. I tried both screws sent in the package and I still couldn't get it to fit. I was planning to return it today. Before returning it, I decided to get my husband to attempt the mounting on my motorcycle. Magic hands, I guess? For some reason, he attached the mount and phone without a problem. The fit is perfect. I test road the new device, cradling my Samsung Galaxy Note 5 phone. I rode over some rather bumpy inner city street. When I arrived at my destination an hour later, the phone and mount were solid and secure. I'm glad my search is over and I now don't need to return the mount.  UPDATE: June 26, 2018 I order this product on June 3, 2017--a little more than a year ago. Living in Chicago, I only get to ride my motorcycle about 8 months out of the year. I've used this mount technically speaking, less than one year. This week, the grip on one side of the spring loaded clip came off its track. I don't know where the spring is. I was able to put the grip back on its track but I now have to be extremely careful in loading and unloading the phone. I hav to take extra precaution to make sure I've securely situated the phone between the grips. It's quite annoying to do this each time! I still think the unit is a good idea but the grip, spring loading thingy should not have failed--especially in less than a year of use. This changes my five stars of a year ago, to 3 stars."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","Lasted just 18 days before it broke. In that time probably lasted about 10 rides on my handle bars. I'm not a hardcore cyclist either, so the rides weren't tough. Item was not mishandled. Just popped a spring that I can't get back into place and ultimately lost the clamp that holds the phone and dropped my phone mid ride."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","This is my second phone mount that is engineered like this model. The rubber strap broke on my last one after long use. I prefer this model as opposed to others based on numerous features: it mounts to any size handle bars due to 2 types of adjustments on collar that goes onto handle bars, there are 3 different rubber ""mesh"" parts used to attach actual phone to your phone mount backing plate. I recommend keeping additional rubber mesh attachments so you have a back-up if and when the original breaks so you are not forced to buy an entire new system. My last one was still perfectly fine, but one of the rubber corners broke so my phone was not as secure as I would like so I bought this new mount system. It is sturdy plastic overall, the screw used to fasten and tighten down the clamp for the handle bars is secure and strong enough to torque down tightly enough for secure attachment to handle bars themselves. I have tried other configurations of phone mounts, but I prefer this system. I have a heavy duty phone mount for my road bike that uses screws to tighten phone down to backing plate, but ironically, the screws come loose during a ride and I have dropped my phone 3 times due to screws coming lose during ride. This specific system uses the rubber ""mesh"" to keep the phone in place to the backing plate and it never comes loose as a byproduct of the rubber ""mesh"" piece. Hence; this is why I prefer this mounting system."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","True story. Two weeks after a medical emergency I decided it was time to get back on my bike. Mounted my phone on my new holder, grabbed helmet and water bottle and took off. Played some hard rock and rap (yes, 58-year old women listen to rap sometimes) to keep my energy up. Almost at the end of my ride, I took a break. I grabbed onto my phone and started removing corner holders. Next thing I know, I hear, “911, what’s your location.” I think it’s the beginning of one of my rap songs. Then I hear it again, “911, what’s the location of your emergency.” Realizing none of my songs say that twice. I say, confused, “Hello?” She tells me my phone dialed 911 and asks if I’m okay. “Oh my god, I’m so sorry,” I said, “I’m fine. I don’t know how that happened. I’m so sorry!” She says it’s not a problem, and hangs up. I’m in a panic. What did I do? How did that happen? More importantly, will I do it again?! In the midst of my panic, my phone rings. It’s my husband. Freaking out, he asks, “ARE YOU OKAY?” I stutter, “yeah, fine, I’m - “ and I hit the end button by mistake. Crap. I try calling him, he tries calling me, busy signals, finally we talk again. I assure him I’m fine. Turns out, which I didn’t know, if you hold down the power button and one of the volume buttons for a long time, your iPhone automatically calls 911. And alerts my emergency contact that I’ve called 911. Oh boy. It took my husband hours to get his heart rate back to normal. Oh, and don’t ask me WHICH volume button because I’m not doing it again just to find out. So. Good to know. Please note this has no bearing on the phone holder. Phone holder works great. But when you are taking off the elastic corners, PLEASE WATCH YOUR HAND PLACEMENT. Do NOT press side buttons of phone while taking corners off. 😉"
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","The mount works perfectly! It fit right into my little Puch SportMaxi moped with no issues. But please be aware: the constant shaking involved with a phone being mounted on a bike can eventually damage your phone’s camera. The vibrations damage the gyroscope for the OIS, as well as the auto-focus feature. My back camera on my old iPhone stopped working correctly after only three months of inconsistent riding. The camera can’t focus and it buzzes and vibrates if you try to use it. I ended up buying a new phone because the camera replacement was so expensive. So please be mindful of that when you are mounting your phone on any type of bike. Check your phone manufacturer’s advice. I checked after the fact and saw that Apple strongly discourages mounting their phones on big engine bikes; and gently discourages mounting them onto mopeds and scooters. And now I’ve spoke my piece, so do what you want with that information. Ride safe and take care!"
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机",This product was recommended by Amazon. I haven’t seen one I like for any reasonable price. I saw that this has the “C” style clamp to grab the sides. Many have that. But this also has a rubber rectangle that holds all four corners. So you don’t have to worry about it sliding out. So clamp holds steady from vibrations and rubber keeps it from sliding out. It is excellent quality. And there may be a better holder but I cannot afford to buy a bunch of phones and I trust this holder 100%. Under $20 including shipping is why I decided to jump on it. I figured if it aucked I wouldn’t be out much. Well I love it. I ordered another one yesterday to give to my buddy for his birthday. I have an iPhone 6S plus. So it is very large if you’re not familiar. But this has it covered. There are 4 different sized rubber mats to hold phone. You just check which one fits you best and slide it on for installation. Super easy to figure out. Super easy to use. Let’s me keep my phone on handlebars vs pocket so I can change mp3 and also keep my google maps open. If I lose this somehow I will definitely buy another one. Highly recommend.
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I've been using this mount for a while, and it works just great. I haven't lost confidence in its mounting stability, or phone retention while riding up and down the road. Mounts to a single bar using a wing nut and clamp system and a rubber grip to keep it positioned on my bars. I've only had to tighten it once just for safety. The phone retention has 2 spring loaded side grips, plus a rubber ""web"" to grab the corners of the phone, seems like a failsafe method of keeping your phone in place. I particularly like this because I don't need a super special phone case to mount it securely. I can leave my case on and secure it.  The only negative I can give it is sometimes when loading the phone into the spring-loaded side grips, it'll mash my volume down button, but once it is in correctly, it doesn't force the volume all the way down. Theres just enough clearance for the side buttons when properly in place. I'd rather have my expensive phone secured and deal with the mounting annoyance sometimes than have to get a new phone. This is a good mount!"
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I purchased this for my Ninebot E22 E-Kickscooter. It's a tight fit on the left handlebar, but with some adjustment, works perfect. I tried to mount on the right handlebar, but it prevented the ""throttle"" control from bouncing back after releasing my thumb.  I'm also using this with a Samsung Galaxy Z Fold 3, and it definitely holds it well! So for the few of you looking for a good mount for a foldable phone and kick scooter, with some adjustment, this works very well. If the handlebar grips were just a little less wide, it would be a very easy fit for Ninebot E-kickscooters."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I bought this to hold my rather large phone so that I can ride my bike with both hands on the handlebars. Seriously tho, I needed a way to mount my rather large phone to the handlebars on my bike. And I wanted one that would fit different size bars so that my wife can use it on her bike as well. We'll work out the sharing details later.  I found this item to fit a range of handlebars without issue and definitely holds my large and heavy (with the case) phone very securely on a range of terrain. It comes with different size silicone nets to wrap around the edges of the phone to hold it tight. So I can easily swap between my Galaxy and my wife's much smaller phone. I'll probably have to buy another for my wife's bike..."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I bought this six months ago and waited until now to provide a review because, well, you just want to make sure it works after you put it through the motionsj I bought this six months ago and waited until now to provide a review because, well, you just want to make sure it works after you put it through the motions. And, what can I say… This cell phone mount just works. It works when only 2 of the 4 straps are secured, it works even when you’ve improperly installed the phone altogether.  There were several times where I was in so much of a hurry to get on the bike and just ride that I actually forgot to secure the corner straps and literally did not notice until after the ride. The phone did not budge the entire time.  More reasons it’s worth the buy: recently I took a small spill due to a patch of deep, loose gravel and even with the bike head over my heels, my phone sustained no damage at all because it was still securely fastened to the bike handlebars. I also can’t say how many times I have accidentally kneed the phone/mount while pedaling aggressively (even knocked it loose of the clasp) and still, the phone never wound up on the ground.  The plastic construction may offer some doubt as to the integrity of its holding capacity, but it has not failed me yet.  To answer some of the reviews of the clasp failing, I can only say that if you over-torque the nut, then that is something that is likely to happen because it is in-fact plastic. But over toward he is not necessary unless you quite literally throw your bike off of a cliff or get into a head on collision with something very heavy and very stationary."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","Premium? The bracket sheared at the ball joint while I was riding down the highway on my motorcycle. My phone is now destroyed. I do not recommend buying this bracket if you plan on keeping your phone in one piece. I had to buy a new phone.  Update: To be fair, I was reimbursed for the purchase. Unfortunately, I still had to buy a new phone."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I’m rating the product a 3 but the company service is a 10, at least. Read on to find out why. I bought this to use on my Harley to hold my phone while using Google Maps and for listening to tunes via my bike’s Bluetooth. It was very simple to install on my 1”1/4” handlebars. Took maybe 3 minutes to get it clampled down and adjusted. Will fit any size bars due to the adjustability of the mounting clamp. The clamp is plastic however and the adjusting bolt that joins the clamp halves is extremely long to allow figment to variable diameter bars. Even on my thick bars there was way more bolt than I needed so it hung out long past the clamp threads. The thumb screw on the bolt is also plastic and I question the long term durability given exposure to temps and UV rays. The holder performed beyond my expectations on my Ozark Mountain trip. I never was concerned about the integrity of the holder. The “butterfly” elastic wings in combination with the spring loaded phone clamp securely held my cell steady even on rough roads. After the trip I put the holder away and didn’t get it out until I was going to use it on a recent Florida trip. When I mounted the phone holder I noticed that one side of the spring loaded clamp was missing. I looked where I had stored the holder when it was off the bike but could not locate this critical piece. Not really sure how that piece could have fallen off as it is connected internally with a spring that allows it to move and adjust to the width of your phone. Without both sides of the spring loaded clamp I would not trust the holding capabilities of the device. Here’s where the story gets good. Even though I bought this in August of 2018 and the piece went missing in March 2019 I emailed the company to to see if they could send a replacement clamp half. I promptly received a response asking for a picture of the defective holder, which I sent. The next day they advised that they would be sending a complete new holder free of charge. Two days later it arrived in the mail. This type of customer care is rare today. They were easy to deal with, communicated amazingly and seemed genuinely interested in making my buying experience memorable. The product is fine (it’s only $13) as long as the spring loaded cell clamp stays together. But if it doesn’t, this company will stand behind their product. Buy with confidence."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","UPDATE 9/12/21 See photo. Unit snapped while riding - dropping my phone to the street - while still attached to the holder. Now, this is mounted on my mount bike which sees a lot of bouncing and hard hitting. It has actually held up quite well under what I would call ""heavy duty"" usage. Would I buy it again, yes, as I know the company stands behind its product - read below.  Holds my Samsung S5 Active (heavy/large) very well. My phone has never fallen out of the mount. It's a little awkward getting the phone into the mount, but again, it's never fallen out - even in rough terrain. I purchased this Roam product three years ago and recently purchased another one for my wife's bike.  Customer support - I had to reposition the mount when I added a bell. I accidentally overtightened the mounting screw and broke the mount. I emailed roam and explained what happened. I asked if they could replace the broken part. They said they would send me an entire brand new mount. Within a week I had my new mount!"
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","Bought this after reading some good reviews on cycling & tech sites. So far so good. Pretty basic and easy set up, 3 slots for the handlebar clip adjusts to most handle bar widths. My handlebars are 'tapered' (thick by by neck, thinner by grips) and the padding on this phone mount is thick enough that even clamped on the angle part of the handlebars there is a good grip. The mount itself seems solid so far, 2 spring loaded grips holds the phone in place in the middle and then the webbed rubber corner tabs stretch to secure the phone well while allowing some vertical adjustment to avoid buttons. Also the ball socket adds ability to rotate phone either vertical or horizontal as well as up/down/left/right. Also also came with 2 extra replacement rubber webbings and a replacement screw that closes the clamp to the handlebars.  So far so good. Seems solid and affordable. Even held phone secure when I unfortunately slipped and dumped the bike pretty hard."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","My recent purchase of the phone mount was a result of riding my motorcycle on roads that are very unfamiliar and windy causing a bit of disorientation. I needed a handlebar mounted phone cradle and chose this one. It's quite easy to install, comes with two additional rubber retainers of two sizes, and includes a swivel mount similar to windshield mounted car phone cradles. I've no reservations with the mount whatsoever. I will say that my phone, a Galaxy A51 and the phone case I use doesn't work as well as I'd like with the mount but it is due to the placement of the on/off switch on the phone and I'm using a case with a magnetic mount. Regardless, the rubber retainer keeps all in place. I'd buy it again and probably will should the need arise."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I have a pop socket on my phone that I use every day, so my options were to find an open-backed phone mount or modify a rigid mount. I found an open-backed mount.  I don't ride trails or BMX, but I commute and ride suburbs and this mount holds my phone with zero problems. It has a rigid frame retention clamp that spreads from the middle to grab your phone by the size and then employs a four-cornered stretch band system to secure it vertically (it has the original band plus two replacements, so don't sweat breaking it) and does a good job of both. The mounting system is simple, but I wouldn't call it versatile--it'll mount to handle bars and not much else, though it does give you a lot of play with regard to size.  It's rubberized in all the key securing points, so it handles vibration (at least on bicycle scale) very well.  The ball socket gives you plenty of freedom to orient your phone however you please.  I don't know if it'd be my first choice if I didn't have to account for the pop socket on my phone but it meets my needs and performers very well at a good price. I have my doubts it'd retain my phone if I took a spill, but that's what I have a phone case for."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","There were some negative reviews about the ease of assembly. I found it totally intuitive and it might have taken 2 minutes. There are four instructions on the side of the package. There are three size allowances for the handlebar thickness. I chose the third but after two rides I may select a thinner diameter because of the foam tape wrapping my handlebar. One may question the longevity of the rubber security band that attaches to each corner of the phone, but two additional replacements came in the box. I suspect you could get more from the company if needed but rubber bands would also work. There is an additional long thumb screw in the box to secure the appliance around the handlebar. It's a well thought out engineered product with a good price. I have another holder made by a different company that's about four years old on my other bike that has held up and some parts failed but the phone still holds."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I have been using the ROAM phone mount on my adult Sun Trike for over a week now and am very pleased with it. First off, right out of the box there were two extra silicone nets and one extra handlebar screw provided, which I thought was very useful to have as a back up. Also included within the box is a small card with directions to use the website to register the mount for a lifetime warranty, along with a 40% off coupon on another ROAM purchase. The mount itself is very well made and of good quality material. Next, there are clearly understandable installation instructions printed right on the side of the box - truthfully, it is so simple to install I really didn't even need the instructions. Getting the phone into the mount is very easy and it is held in place very securely with the silicone nets. While riding, the phone is held in place very steadily and I am so happy to have my phone conveniently available during my rides. I will mention that my rides consist of some side streets, sidewalks, and paved trails. Even though there are some rough spots that are a bit jarring I do not experience the kind of vibration that is typical of motorcycles or bikes used on very rough terrain, so I cannot speak with any certainty how this mount will work on those scenarios. For my use, this mount is absolutely perfect and I highly recommend it for the more casual rider. I will update further in the future to report on long term use, but for now, I am completely happy with the performance and price of this phone mount."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机",I've been looking for something to hold my phone when I'm using my scooter through New York. I was worried it wouldn't fit the handlebars of my scooter as they are pretty thick but thankfully the holder has several widths it can go to and it comes with a longer screw as well.  Obviously my phone isn't in the photo but I have a Google Pixel 4A and it fits perfectly with the larger rubber sling. It's very secure when locked into place and doesn't move around even with driving over bumps. My scooter only goes up to 15 miles per hour so it doesn't budge at all.
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","Full disclosure: I’ve only had this phone mount for a couple weeks, so I can’t really speak for it’s long term capabilities at this point. But, I was riding my bike yesterday and completely ate it and after the initial shock of the fall I looked to see that my phone was still in the holder as if nothing happened. I said right then and there 5 stars! I jacked up my ankle, but my phone was completely secured! I also love the rotating ability of the holder to put it in any angle I want. You can lock the position by tightening the little plastic piece below the part that it rotates. I can take video of the bike path, see what route I’m taking, change music, etc. Would buy again! I’ll come back after some time has passed to see it’s longevity. For now, I will be icing and resting my injury.."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I gave this to my husband for Christmas, so he hasn't had a chance to use it yet. However, he was thrilled to get it. He bought a used motorized bike (I didn't know they even made these) and as I was looking for a few items he needed I came across this Room co-pilot, universal bike mount for smart phones. I read about it and thought, what a great idea. I did look at some others, but I kept going back to this one. I do read reviews and I believe it had over 9,000.00 (at that time) and all of those I read, and I read quite a few, were lower than 4 stars. It was a win, win, great reviews and the price was ever better. I will come back and give an update when he gets a chance to use it. We have snow where we live so it will be a few months before I'll be able to give you an update. I was excited that I came across it. I hope everyone that reads this has a very Happy New year and stay safe. Thank you Roam for making a great product, it added to our very merry Christmas and the perfect gift for my husband. I'll be looking for more products made by you. Much Respect, Dianne"
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I bought this for my husband. His speedometer went out on his (motorcycle-sized) scooter, so he was never sure if he was speeding, or going too slow. A friend told him about a speedometer app, & showed him some mounts for motorcycles. I purchased the Co-Pilot for him. Scooters have different handle bars than motorcycles, so it didn't fit. I got creative, & put it on the mirror bracket. It was easy for him to install, after I did a trial fit, & he loves having it where he can easily see his phone. The only downside is that it's made for thicker bars, so it's not as tight as we'd like. One big bump, & it will flop down, but it's easy to fix. Would be better with a thicker piece of rubber. We can add something, but since he parks at a park & ride when he takes public transportation, we didn't want him dropping the added piece when he removes the holder to take with him."
