product,text
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","After using Lights, Camera, Lashes by Tarte for the past year, I got tired of breaking the bank over mascara. My sister suggested Essence Lash Princess False Lash Effect and I IMMEDIATELY fell in love. It provides dramatic length and great volume. I can honestly say I can’t stop looking at my eyelashes in the mirror every single day because of how awesome they look. Also, it is very long wearing. I go from an 8 hour work day right to the gym and sweat like crazy...and this stuff doesn’t budge! I love it!!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I decided to try an inexpensive mascara, since we wash it off every night. I LOVE this mascara 😻 !!!! I took a photo of one eye with this mascara (blue arrow eye) and the other with a $32 mascara (Charlotte Tilbury). My husband could not tell the difference and I think this mascara (marked with blue arrow) looks better and the lashes are longer. FYI-I have a bald spot of lashes gone from using Charlotte Tilbury's mascara (the eye with the arrow) and still this eye looks better with Lash Princess. I have not had any lashes lost from Lash Princess Effect Mascara. GREAT 👍 mascara!!!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","Play Video  Everybody likes fake eyelashes but I actually hate them. I hate playing with the glue, I hate having to clean the glue off of your lashes and I hate when you lose lashes using falsies. I am a customer of thrive mascara which is about $30 or $25 something like that.  This mascara is going to be my new mascara it is perfectly buildable and you can “water it down“ using contact solution, just a little though, This mascara I feel makes my face look very pretty"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性"," This mascara is worth the hype! To get this is effect on my short lashes that pretty much grow straight forward, it usually takes 3-4 coats. This did it in 2, didn't crumble, lifted, separated and thickened my lashes without clumping and has finally made me want to give up lash extensions. For the price and results, this can't be beat!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性",I wanted to love this mascara but it just wasn’t great. It really did give my lashes volume and length but they got clumpy and stuck together all the time. It was hard to remove with soap and water (I don’t use makeup remover so that may be why I struggled but my go to mascara rinses very easily without it) and it usually had smudged quite a bit by the end of the day. The worst part was the reaction I had to it. My eyes would get really puffy and start to hurt and then get really bloodshot. Nothing worked to get the irritation to calm down not even clear eyes drops and ice packs. It took a couple days for my eyes to return to normal and stop hurting. I used it multiple times and every time I had this reaction. I don’t feel like my eyes are overly sensitive but something about this product just did not agree with me.
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","Lash Princess is by far the best mascara I have ever used. I went from spending $100 a year to $15 on mascara!! My lashes look so beautiful, it’s the only make up I wear daily. It gives me fabulous volume control, I have been asked several times if I have lash extensions.  Also, it’s very easy to remove, comes right off with my regular face wash. No special eye makeup remover needed.  A couple of tips:  How to prevent raccoon eyes: There is A LOT of product inside, so make sure you scrape off as much off your brush before applying it to your lashes.  Also, unless you purchase the waterproof version of this mascara DON’T put it on your bottom lashes. It makes your lashes so long, it will scrape agains your skin causing it to smudge."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","Love this mascara! I’ve used the “best of the best” designer, super hyped, ultra popular mascara available and NOTHING compares to this stuff! I don’t even bother using a lash curler anymore! I buy 2 at a time so I always have a spare (yes, it’s that good!!). I highly recommend this particular mascara... it goes on effortlessly, it lasts pretty much all day, and the price?- I feel like I’m almost stealing it! I’d give it a 10 star if I could!!!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I've had this mascara in my cart for the longest time. Finally decided to try it out and I AM IMPRESSED!!! Super lengthening and volumizing! I've tried about 80% of drugstore mascara and would only repurchase one kind. This exceeds that one kind, by far! New favorite for sure! It does transfer to under my eyebrow by the end of the day, which is not something I've had with any other mascaras I've used. That's my only negative. This mascara is not for no-makeup-makeup days lol it's so extra and I love it!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I never question my $30 purchase for high end mascaras (Diorshow and Stila are two of my favorite pricey ones) but after using this... I'm not sure ill ever splurge on mascara again. It works just as good if not better! Not clumpy, and doesn't leave lashes hard or stiff! Don't mind my not made up face in pictures but left is with mascara and right is without (also my lashes aren't curled, can't imagine how great they'd look if they were)"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性", Not always sure how accurate the reviews are but for the price I decided to give it a try. I love it. It does just as good if not better than some of my higher priced mascaras at giving me volume and length. I would definitely purchase again.
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I bought this mascara because it had been highly hyped by a few different fashion bloggers. Sadly, I did not experience the same love affair as them. I hate the packaging. It is literally just a tube, no wrapper, no seal, no cardboard. This worries me because how can you tell if it has been tampered with or used??? I would gladly pay $1 or $2 to know I’m not risking pink eye for long lashes. That alone makes me want to keep looking for another mascara, but so far I’ve been pink eye free after using 1.5 weeks! I like that it is a brush applicator as I seem to have horrible luck with the silicone bristle brushes. It is a tapered brush which helps you really get into the edges and the smaller lashes. Unfortunately, almost too much comes out on the brush and it’s hard to get off and I’ve ended up with clumpy lashes that I’ve had to redo. I would probably use a different mascara if I were applying in a rush or in a car or somewhere I would be unprepared to possibly have to redo my lashes. Maybe it will be better after the tube has dried a bit. It does tend to rub off below my bottom lashes leaving me with darker circles than I already have :( (co-sleeping 2.5 year old) My photo is after I’ve had the mascara on for 6hrs or so, running errands, so you can kind of see some of the under eye darkness. Sadly, I will keep looking for my perfect mascara"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性",I was excited to try this because I saw it on a blog review. I don’t know who they paid off.... so it started out looking nice had good build up looked nice and thickened my lashes..... 4 hours later it looked like I had gone swimming and rubbed my eyes. Seriously so bad. I’m just glad I was our with friends and not at an event so they could tell me I need to go fix my mascara. Save your money and pay a little more this is the worst mascara I’ve boight.
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","My review has some layers to it. I promise there’s a point.  First I was “targeted” on social media to buy this new mascara. It was only $5 and the reviews were all really positive and I thought, why not? So I bought it.  I’m a teacher and since the pandemic hit, I no longer wear makeup to school. Makeup irritates my skin with my mask so I just haven’t been wearing anything plus it makes morning time hella easy #bareface  This mascara delivered in the evening, so I decided to try it out the next day and wore it to school. I only put on the mascara, literally no other makeup on my face. Just my lashes were done with this $5 magic.  I kid you not - my lashes were literally ALL I heard about that day. Upon walking in the building, a teacher friend from all the way at the other end of the hall and was like “oh she got makeup on today!!!!” Each kid that came up to me commented on the lashes. One kid even told me I looked younger and the best story of all …. A teammate of mine was out and the sub was having trouble with the announcements and so I went in to help her. Her homeroom just went bananas about my lashes and then they started clapping and I got a standing ovation. A literal standing ovation.  Best $5 I’ve ever spent LOL"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性"," Awesome quality mascara. Easy to apply and dries quickly without smudging. Has super volume, just like I was wearing natural looking false lashes. Easy to take off with makeup cleaner or soap and water and lets all day with no clumping. Great price too! Highly Recommend!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","**11-1-21- Okay so update on my original review. I DO like this mascara. First, it has not dried out and turned into a clumpy-cakey mess, it's still the same consistency as when I bought it. It does go on easier now that I've been using it a bit also. So I would most likely buy this again.**  Ill start off by saying I did give this 5 stars but I'm not sure if I truly like it or not and keep flip flopping back and forth on that.. for me personally, my eyelashes are a pain the _$$ they're individually very fine and medium to long in length and nearly impossible to apply mascara to without getting it everywhere and using an eyelash comb or pin to get them in line, otherwise they look stupid.. once applied properly my eyelashes can look great, if the mascara isn't a dry clumpy mess. So with that said, while everyone says it doesn't clump, for me, it does and even worse it glops on. I've had to resort to using a lash comb daily which is the part I dislike about this mascara. What I DO like is its very buildable and I can manually direct my lashes in the direction I want them to go AND this mascara doesnt dry like a hard flaky mess. I haven't had any dry crumbs under my eyes after wearing this mascara all day and at the end of the day, it's still on and feels soft to the touch. Not sure why a couple people said it gives raccoon eyes, for me it does not do that and I overheat and sweat a lot so if it was going to do that, I would've definitely seen that by now, I've been using it about a week. All in all, it's definitely a good value and in my opinion way better than Maybelline falsies which crumbs, flakes and the tube dries out in a week. I think I like it a lot better than what I've been using and pretty sure it would be amazing on someone with normal eyelashes, unlike my thin, fine pains in the butt."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I have long eyelashes that are so light that you can’t see them when I don’t have mascara on. I am extremely picky about mascara and I’ve tried almost every expensive brand and store brand available. Even ones that get good reviews, I usually do not like because they clump, or I look like a raccoon, or it flakes off. I do not use waterproof mascara because I like to be able to wash my face and remove my mascara in one step rather than having to use make up remover as a separate step. Hands-down this is the best mascara I have ever used. And it’s only $4.99. Unbelievable! I used it for the first time yesterday and it never flaked, it didn’t clump what I put it on, and no raccoon eyes. The first picture shows my left eye without any mascara and my right eye with this mascara only on the top lashes. The second picture is with only one coat of this mascara on all my lashes. I do not use false lashes or lash inserts. Highly recommend this mascara."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I was looking forward to trying this product, as the reviews were so positive. However, upon receiving the mascara, the wand was hard to remove from the cylinder and when it did come out it was extremely damaged. I would love a replacement tube so that I can provide a more positive review."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性",This mascara was recommended on a Facebook group. It isn't my normal brand. I had to wash my face clean at work because my eyes burned so bad. I can't return it it says no returns. If you have sensitive eyes I would be careful!
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I have found my holy grail mascara! Most days, I dont wear any makeup, except for mascara - this is perfect for that or a more dramatic look. In the first photo you can see that I have barely visable blonde eyelashes, and the difference one coat applied to the other eye. The second photo is both eyes with one coat and the third photo is both with two coats. This mascara provides length and volume with a good wand to separate lashes. It dries to a soft, feathery texture. This stuff stays put! It has stood the test of rubbing, itchy/watering eyes from allergy symptoms, crying, running through rain, sleeping in make up - all without smudging, flaking or clumping. This version doesn't claim to be water proof, though water and my regular cleanser are not enough, I have to use eye makeup remover to clean it off thoroughly."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I normally don’t like to submit a photo for a review but I had to. My fiancé thought I put on fake eyelashes. I normally have long eyelashes but the ends are blonde so you can’t tell unless I am wearing mascara. I definitely will be recommending this to friends, so economical for how great it is. Better then most department store mascaras. This is only one coat by the way."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","Okay, so I saw this on a list of those like ""22 things on Amazon I love/would buy again/whatever"" lists, and I had been looking for a less expensive alternative to my current mascaras (I use Tarte Amazon Clay and Perversion by Urban Decay. Each costs upwards of $25), and I thought, for $5, why not give it a shot. SO GLAD I DID! The issues I have with both of my regular mascaras are that the Urban Decay smudges way too easily, and the Tarte flakes way too easily - thus, I have been using one coat each. So $50 or more I am spending on mascara alone every time I buy makeup. I had reached a point of ridiculousness. This mascara gives great volume with one coat, and I wear it for 12 hour night shifts without it smudging or flaking off. I will say that it does tend to clump, so you have to be careful with application, but the upside of that is the volume it gives your lashes. It is a definitely a more spidery appearance than deep and lush like you get with Perversion, but since Perversion comes off and smudges so easily, I'm really only going to use it for special occasions from now on, because it's not worth it to have my mascara all up under my eyes after 3 hours. I think also that may be the application brush it comes with, and if you used a fluffier mascara brush you would get that feathery look from it. All in all, an excellent buy. For $5! I rarely use drug store brand anything and NEVER buy makeup from Amazon, but I'm glad I took a shot on this."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","So Amazon suggested I might like this and I read the reviews and decided to try. I accidentally ordered two, but now I’m glad I did, because I really like this mascara and will even buy again. What I like about it is that it makes my eyelashes look long and separated, instead of long and heavy and clumpy like some mascaras. This feels light on my lashes, not heavy, if that makes sense. I think it stays on ok but I can’t really say because I always follow with waterproof maybelline mascara in the pink tube. That mascara is really water proof but doesn’t do much for length or thickness. I only use it for my final layer.  I have to say my eyelashes look super good lately. They are looking really long and the only thing I can think is it must be because I have started using Albolene moisturizing cleanser to remove my eye makeup. I used to use coconut oil. The albolene works fine to remove this mascara and the rest of my make up and then I just use a hot wash cloth to remove the excess. It must leave some moisture in my lashes because I’ve been surprised how nice my eyelashes are doing and I’m 72 years old. So I would recommend trying both this mascara and the albolene cleanser which I also bought on Amazon."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I've been wearing makeup for 35 years, so I have worn my share of different mascaras. Dollar store, drug store, high end, you name it, it's been on my face. This little unassuming sucker is a GAME. CHANGER. She is now my Holy Grail. I scrape the whole brush, sometimes even lightly blot it, because I don't like a lot of product right out of the gate.. A little wiggle and a swish, and I legit have eyelashes that look like they've been glued on. They're feathery and defined and full, super dark, no flakes, no smudges, no traveling under your eyes making you look like a drunk stripper...(not that there's anything wrong with that.) I add one more light coat to the tips of my lashes and voila, I'm a doe-eyed princess. The trick is to CURL YOUR LASHES first. That goes for any mascara, because it makes a massive difference. Blast your curler with your blow-dryer for a second if you're feeling super fancy. Don't sleep on this, Queens! For the results I get with this mascara, I would happily pay triple the price, but the gag is, you don't have to! Scrape your change together and buy this!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I have been buying this product for a while now but I recently deviated and tried the Skyhigh Mascara that's gone viral so now I'm comparing it. The SkyHigh Mascara, besides being several times the price, was may be as lengthening on a good day and even the regular kind - not the waterproof kind - was ridiculously hard to get off, yet somehow it STILL seemed to flake off under my eyes during the day. O.o  This mascara, besides being a literal fraction of the price is quite easy to remove but does seem to flake off over the course of the day as much as the more expensive brand. It's also at least if not more lengthening. It's every bit worth the hype. I was just at Ulta with a girlfriend who was looking for mascara. The girl was ready to spend $40 on some Dior mascara and was skeptical of the low price. I told her to hold onto her butt and, because it's so cheap, I just bought her some and had it shipped to her house. She's hooked now, too. This stuff is awesome. 10/10"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","Makeup is expensive. So is paying for lash extensions. Where is the happy medium you ask? Well friends it's this little tube of magic my sister introduced me to after uncovering on Woot! I've always had lashes that look amazing with the flick of a wrist accompanied by a magic wand of expensive mascara (usually mastered with two brands - Too Faced ""Better Than Sex"" Mascara & Benefits ""Their Real"" combo. At a whopping $50 a month for two amazing mascaras I realized I could get extensions for that price. Anyhow, I can't imagine $4 a month being better spent elsewhere? Try it out. Those mascara pros know you first swoop it over lashes vertical then horizontal to give it the lift and volume and only need 3 swoops with this ONE brand. Try it out. You legit can't see my eyelashes without mascara and less than a minute later I look woke :)"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I have been a mascara snob my entire adult life, and have been purchasing the same two brands for mascara. Then, I decided to get an inexpensive tube of mascara just to have in my emergency makeup back, and WOW was I surprised!  One coat of this stuff is better than 4 or 5 coats of my other stuff. It isn't waterproof, so it comes off with just a makeup-removing facial cleanser or micellar water with no problem. It separates and lengthens my lashes. I have people stop and ask me ALL THE TIME what I do to my eyelashes to make them ""look like that."" Like... literally stopped in the middle of a sidewalk in downtown Tampa to ask about my eyelashes.  And it really does stay in place, even without a setting spray, when most of the other makeup I use melts off. Seriously Let me put this in perspective: I live in Florida, and I wore this mascara to work every single day for the last year in the heat/humidity (including all through the summer) and they stayed on my lashes better than any other brand of mascara I've used.  This is now officially turned into my go-to mascara!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","This mascara looks great after applying thusly: Apply twice to top lashes, dipping wand between applications Apply once to bottom lashes without reloading wand. Repeat for other eye. If the contents seem to be dry and mascara does does glide on with ease don't use water to dilute the makeup. A drop of mineral oil into the tube and then stir it with the wand. Do not try to mix using a pumping action as this will push air into the tube and make the contents even drier.  I do wake up with racoon eyes if I don't remove it before going to bed but I haven't experienced this during waking hours. Unlike most eyebrow pencils (grr!) I don't have to reapply my mascara, even through long hours - daytime and throughout the night - as we sometimes get down here in Las Vegas.  If anyone is having trouble with racoon eyes and/or the mascara becoming crummy (not crummy-bad; I mean the crumbs type of crummy) the mineral oil trick ought to help with that."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","Lash Princess will now be my go-to mascara! It's easy to apply and makes my lashes look great (I'm 73 years old). I will use a brush afterward and reapply if I want more of a dramatic effect. There is no caking! During the day, there are no problems with flaking. I've had problems with flaking and it's hard to find a mascara that doesn't flake. This mascara has not been harsh on my lashes and I use Ivory soap, or another gentle cleaner, to remove the mascara without any problem. I definitely recommend this product for young and old!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性",I have probably tried every mascara on the market and this blows them all out of the park. Let me start by saying that I wear contact lenses so it’s important that nothing flake off into my eyes during the day from my mascara and after wearing this mascara countless times I have never had an issue with this. TheMascara Goes on easily it builds it thickens it separates. It makes you look like you’re wearing false eyelashes. I can honestly say that I can go out with just mascara and blush and feel like I made up without having to put on eyeliner and eyeshadow. It doesn’t flake into your eyes even if you accidentally rub your eyes and it’s easily removed with either make up remover or soap and water or the make up eraser pads. I sincerely hope they stay in business because I will be a fan for life and there’s not many things I can say that about.
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I ALMOST didn't buy this mascara because of some of the negative reviews. I am so glad I didn't listen. I was expecting a mess when I went to apply this (per negative reviews) but no. It went on just as smoothly and easily as any other mascara I've used. I've used Mabelline colossal forever. I've tried thrive, younique, you name it. This just became my ultimate favorite mascara! I was liking Thrive but I've noticed it doesn't do well for everyday use. I can only use it every other day. It just doesn't give a consistent result so I went looking for something other than my go-to Mabelline. I've just found it!! This separates my lashes, glides on, no smudge, great lengthener & volume. Not to be salty but some people just never really learned how to put on mascara correctly. That could be one issue for some as this is a wet mascara. The brush holds plenty of product. If you're one of the strange birds that tries to apply mascara while driving, (please stop) and this mascara is not for you. If you are someone who likes to apply mascara in a rush and only want to dedicate 3 seconds to applying....this mascara is not for you. If you don't want dramatically longer looking lashes this is not for you. Other things I love: the brush, the tube has rubber on it to keep it from slipping out of your fingers and when you close the tube up, it actually ""clicks"" closed. For the price????? This is a STEAL! Don't listen to the negative reviews! Just buy it!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I have read that this mascara is wonderful so I wanted to give it a try. I have very very short eye lashes so I have tried so many mascaras overt the years that I have lost count. Boy I was very surprised to find out that this is one of the best for volume ,it went on so well very easy to use and the value you do get a lot for your money. I had to put 3 coats on but it looks really nice with the volume and it looked like I have false eyelashes on. The color I chose was the dark black and it’s very dark and rich just what I wanted with no smudges or raccoon eyes, I found it very easy to apply and add more coats without any hesitation. I highly recommend this you will be very satisfied!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I’m used to layering my mascara so that I have volume but not a think or clumpy look. It’s not “bad” per se, but it’s not the usual look for me. The price can’t be beat, that’s for sure!  I don’t dislike this mascara and even though I have some of my usual brand, I’m still using it, and not just to “use it up” since it will probably take a little while to do that.  It’s not easy to remove, and I have had some lashes break if I forget I’m wearing it in the evening and rub my eyes. Fortunately I don’t do that often. The upside of it not being easy to remove is that it stays on, and doesn’t smudge or run easily at all. And while it’s not waterproof, it almost is, but isn’t as difficult to remove as a waterproof mascara can be.  I use makeup remover wipes and then my regular face wash and as long as I pay extra attention to removing the mascara with the face wipes, it’s fine.  Will I purchase again? Maybe? I don’t know? It’s not that much less expensive than my regular mascara, but it is very different. I think it’s just less “my style” but still pretty good stuff!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","Mascara is the one makeup product that I HAVE to have. You know, if I was on a deserted island and could have only one makeup product what would it be... it's mascara. I have bought so many different brands of mascara over the years and to-date, essence Lash Princess is my favorite. And for the price, it cannot be beaten.  It comes in two types, but I've only tried the False Lash Effects. This mascara lasts all day, doesn't smudge and I've never had it clump up on me. For everyday use this is my go-to mascara and so thankful I found it. I will be a repeat customer for sure.  The only con is that it comes unsealed. It had a sticker across one side showing it was new, but no packaging or plastic wrap/shrink wrapping. I think this is another way they keep the cost so low, though... maybe. I still love this mascara."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I am a long time fan of cliniqe's lash power mascara. It has to technology that wraps each individual lash and volume and length without smudging or flaking all day. It comes off easily with water. I was extremely skeptical when someone told me about the essence princess last mascara and said that it had the same performance and durability as my favorite. I tried it and I am pleased to say it really is very similar in performance. However, it is not Tube Technology so it is not as easy to get off. I do find it comes off with oily eye makeup remover like garnier's waterproof mascara micellar water. That being said oh, the only complaint I would have about the princess lash mascara it's a tube is very bulky it's not portable like the Lash power. But for the 499 price tag I'll relinquish the extra room in my makeup bag. I wish the wand were a bit thinner like the last power bulky mascara wands 10 to make a mess all over my monolid. Actually I have more of a micro LED since I am Japanese Korean and Irish mixed. That smaller lid space collects more mascara goo. I don't find this mascara messy it applies beautifully in just one or 2 swipes. I love it! In fact, I love it so much that I purchased two extras and handed them out in a women's community that I started on Facebook."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","This stuff is appropriately hyped. I’m not any kind of a makeup guru (my makeup routine generally consists of “throw on some black eyeliner and mascara” because that’s a low maintenance look that makes my eyes pop) and I don’t want to actually spend money on makeup. This is by far the BEAT cheap mascara I’ve ever used. Normally I just grab some Maybeline or Covergirl when I’m in CVS (I don’t usually pay attention to which one because honestly they’re kind of all the same), but I ran out so added this to my Amazon order. I was SO surprised that it was noticeably different than the “drug store staples.”  I’ve got long-ish lashes to begin with (lucky me!) and this makes them look so long other girls think I’m wearing falsies. Definitely recommend.  Bonus tip: I don’t bother with an eyelash curler, but you can get a similar effect with this if you put on the mascara, and then press your finger against the bottom of your lashes like you’re trying to curl them up (while the mascara is still wet) and hold it there for 20 seconds. Then shabam- you’ve got some lashes that REALLY pop. (Although you’ll end up with mascara streaks all over your finger but it’s easy to rinse off)"
