product,reviewer,influence,comment,text
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Boxinghelena,939,304,"My cable/internet bill reached $250+ and that was enough to kick Comcast to the curb finally. I asked my friends so many questions before I took the plunge and convinced my husband we had to cut ties with cable and I’m now mad at myself for not going this route years ago! It was so easy to install and setup my apps. The hardest part was remembering my passwords for the apps. I also signed up for Sling streaming & Verizon’s wifi 5G cube and it feels like I still have cable while saving $150 a month. Edit: turns out that I don’t even need Sling. I only got Sling for AMC & Bravo but if you have the peacock app, they’re on it. I can’t believe I was paying $250+ for cable AND for the apps. I’m literally only paying for wifi and nine apps now."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Priscilla Brooks,102,34,"I had dropped my current satellite TV provider and was hesitant on getting Roku or another option, My niece suggested Roku. I did alot of research on different streaming devices. Mind you I'm NOT savvy with electronics but I was so flipping impressed how easy it was to set up and watch all my favorite shows all in one. Someone made a comment on not getting YouTube on here. Not true. I got right on it. So happy with my decision. Plus you get free TV: CBS, TBS, many more. There are in purchase apps, but free trials but its cheaper that paying for cable. I highly recommend this. Now to find out how to fast forward through ads lol go premium and no ads yay!! One more thing, Get this Roku over all of them it have voice activation on the remote, volume up & down, easy to set up to the TV itself. Definitely worth the price."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Andrea,24,16," Great product. Streams all my subscription accounts. Provides everything Roku TV provided. You even get free Roku channels. Awesome price, Great quality, Highly recommend."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Youhaftabekidding,246,203,"I’m a recent cord cutter. I gave a big satellite company their walking papers because I couldn’t trust anything they said. So I bought two of these for streaming. I did a lot of research between this and the other major brand but settled on this one because of its ease-of-use and because this model specifically has enhanced capability to grab an Internet signal. With one of my TVs being in the sub basement, and the router being on the second floor, I often have trouble getting an Internet signal in the sub basement. But this thing doesn’t struggle at all, the signal is amazing. These are very easy to use which is important for a fuddy-duddy like me who misses his 8-track tapes and who used to watch black-and-white TV with nothing but rabbit ears for a signal."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Tracey B.,2,4,"I like the stick best. The premier tabletop model gets hot). I cut the cord & I am a believer! If you ever had a thought of ditching your cable/satellite Bill with the Fees & Taxes & bloated channel packages- (peppered with home shopping and music & channels you don't watch but pay large fees for anyway), well, I think you owe it to yourself to give Roku a try! There's plenty of free stuff (Roku, Tubi, IMDb, FSTV, ABC & CBS news, PBS, sports, weather, kids, anime, NBC Peacock &Pluto,ETC.) watch FREE until you decide you want to get premiums (ie: Netflix 9.99) Wi-Fi & any TV with HDMI activates this sturdy, inexpensive (with voice/hand control remote) Dynamite device that wll immediately be saving you upwards of $1,000 a year! And it's on sale right now. There's One 'downside' to cutting the cord: using all the free apps-you wait til your regular shows stream, some next day, to watch.-minor adjustment ;-0"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Mark F. Stratton,249,74,"Purchased to see if our DSL Internet connection is capable of streaming adequately, and if there are enough viewing options at little or no cost. We have been stuck with satellite tv since moving to a mountainous area with little to no line of sight over the air options. Our satellite initially cost $35 and rose to well over $100 in 15 years, and with recent 2021-2022 events we need to find a way to cut additional household costs. We received the Roku stick in 3 days, and followed the simple installation instructions with no problem on our 2014 era Sony dumb tv. The picture quality is actually much better than with the satellite feed, the free (with ads) programming from the Roku Channel, Tubi, and Pluto TV is pretty amazing, and I was able to find a couple of the most local tv news stations on Roku for free. It's only been a couple of days so far, and we will have to see how the streaming holds up before we shut down the satellite for good, but in that time we have streamed from several sources, and watched 10 episodes of an old favorite series of ours. So far, so good. Happy with the purchase, and may buy another stick for the second tv. Well worth it."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Southern Gal,1364,287,"I have these on all my smart TVs. We have several different brands with different menus and different remotes. By using one of my Rokus, I have the same remote for every TV with the same buttons (plus it has voice control) and all my apps are already installed and I’m logged on. (You have to do this when you first get the Roku, but then it remembers them.) When we travel, we take the Roku and we don’t have to program apps on the TVs where we are staying. And we don’t have to worry about logging out of apps. We just have to remember not to forget the Roku."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Scott,1954,289,"Best remote I've ever used! It was super easy to install and it controls all of my connected devices.  The best feature with this remote is it allows me to choose what streaming service I want to use. For example, I can say ""Top Gun"" and it will show me all streaming services that offer the movie AND the price for the movie from all of the streaming service providers. Some may be free while others ask for $3.99 to watch the same movie.  I couldn't be happier!  The voice recognition is perfect while the remote is very intuitive."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",CD,247,224,"Love Roku! Can't believe I wasted 10 years on paying for outrageous cable when I could have been getting this for free!! No more monthly cable bills!! You can add specific movie channels if you want too but seriously there is no need! There are literally 100's of movies for free. If you are tired of paying for expensive cable, THIS IS IT!"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",TEB,328,122,"Set up was super simple. This replaces the Amazon Fire Stick that had to be rebooted every three or four days. If this wasn't done the picture quality was only was only ""fair"". After rebooting the quality was ""very good"". This had to be done too often in my opinion. I learned the procedure from YouTube. The Roku is really simple to navigate and the picture quality is excellent. The voice command works so well that I'll use it all the time. I'll see if it holds up over time but so far it's doing what it is advertised to do."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Nelson Johnsrud,179,44,"Reasonably good selection of free and subscription channels, but I wish Roku would settle their beef with Google over the YouTube and YouTube TV channels. I have limited options to receive local channels in my apartment building. A highway embankment next to the building blocks any attempt to receive local channels via an indoor antenna, and there is no external antenna on the building. This limits me to purchasing cable TV (which I detest), or using something like YouTube TV to stream the locals. No cost savings between these options. I may have to consider moving just so I can get free local channels again, but that’s not Roku’s problem. The Roku stick works well and has an easy to use remote. I chose not to pay extra for a second TV hookup to our cable system for our bedroom set. The Roku gives us plenty of free options for a second TV."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Maureen Bragg,10,24,"Heads up campers! It took me awhile to figure this out. My new trailer has a 12v TV in it, which uses far less electricty than AC. That's great, but it's not a smart TV. So I pull out an old Roku device I had and voila!, it works. But here's the thing... to power the old roku connects to AC power, even though it only needs 12v. So The trailer has an inverter that converts DC to AC, but it takes 10x the power. And when I'm dry camping with no power I'm super careful to minimize how much I use AC power. I won't go into the details, but I tried a number of ways to power the Roku from 12v -- nothing worked.  So I simply purchased a Roku stick which can be powered through a USB -- either directly from the TV or a USB plug. Problem solved! As long as I have a wifi signal, I can use Roku to access all of my streaming services. I'm literally a happy camper!"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",George,758,224,"Absolutely amazing device that is powered off the TV's USB port.  Pros: Easy interface. Lots of streaming apps. Does 4k - device is smart enough to query the TV and sets up resolution and the remote control for you. Small enough to take on a trip and use in the hotel.  Cons: Make double-dog sure your email is in the country where the device is used. I went through 3 hours of troubleshooting with Paramount+ only to find out the first email address is considered out of the US, so Paramount+ would not work. Also, most of the menu options were gone. I reset the Roku, used a US email address, everything worked, and all the menu options were present."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",samanthann92,852,312,Okay I've been loyal to the fire stick for years but we got a roku tv and it was so easy and smooth. My third fire stick started pooping out. Every app would quit and it wouldn't connect to the internet so I thought let's get a roku stick and see if it's as good as the tv and omg it is. Not one issue since the first day. It is so smooth and easy to use. Apps don't crash at all. Much better than the fire stick
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Floyd4Al,18,51,"I originally purchased an Apple TV for streaming. A very nice product for sure. HOWEVER, as nice of a product as the Apple TV is, I feel it is seriously overpriced. I wanted a second streaming device and after reading a half-dozen professional reviews, I decided to give the Roku a try.  The Roku is simple to use - and the remote much easier than the fancy one for my Apple TV. I was so impressed with the Roku that I recommended it to my daughter for her families use. She tried one and was so impressed that she has since purchased a total of 3 Roku streaming devices! Works great - priced right."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Mark K,10,19,"Small, and out of the way plugged into an HDMI port on the back of the TV. Great user interface. The voice commands work very well, not just to search, but to launch the apps and channels as well. The RF/IR remote is great, with the RF controlling the Roku Stick without being in line of sight to it, and the IR controlling the TV. It pretty much does everything my Roku Ultra in the living room does, it just doesn't have the 2 programmable buttons on the remote. A very good buy for the money!"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",A customer,116,26,"I’ve had many Roku devices and this one is far better than any of the others. It’s just stunning, really. Super smooth operation, crisp 4K, intuitive, fast, and without a flaw. I can’t imagine anyone regretting buying this device."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Jen K,188,195,"I have a Roku TV, which I love. But I was going to be house-sitting for family for a week and I wanted to be able to easily access my apps (YouTube TV, Netflix, etc.). Since packing up my TV wasn't an option and I didn't want to rely on my laptop, I picked up a Roku stick. It was very easy to set up (the hardest part was pairing the remote) and download all the apps I wanted. Then when I got to my sister's house, it was easy to just plug the Roku in, connect it to the Wi-Fi and I was ready to watch shows to my heart's content."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",pohlcat01,181,282,"Does not include a cable for rear facing hdmi ports. So if you are wall mounted, make sure you order one if you dont have side facing hdmi ports!  Otherwise, the default standard for cable cutting. remote linked to my very old TV automatically. Just get it! This is like my 8th or 9th roku. we keep getting newer and more TVs so put the newest model on the newest tv for best picture. :) also, we been using so long some have become unsupported. (just like any other phone or electronic device)"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",sarah,23,27,"I got this for my mother who wanted to ditch the price of cable and use apps instead. This was super easy to set up on her TV, I set up the apps for her, and it was easy for her to learn and navigate to watch the things she wanted. She even found some local news stations which I didnt think she would get anymore without the cable. Very impressed!"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",JP,5,15,"The main difference from the Stick+ is that this unit has 2X the WiFi throughput on my LAN. The Stick+ had a shorter USB WiFi adapter and then a USB extension cable. This unit has a longer USB WiFi adapter cable and no extension. If you have a USB port with enough power on your TV you might find the older Stick+ cleaner to install, but you can coil up the extra USB cable length and have this newer model.  AirPlay works better with the better WiFi in these sticks.  This is the non ""plus"" version, which has the same ""voice remote with TV controls"" as the old Stick+, which does not have the headphone jack that you can get with the Roku app on your phone.  The biggest MINUS is no ""input"" button on the remote to change the TV to the ROKU HDMI port on older TVs."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Amezzu,234,76,"We already had a Roku on each of the main TV's but when I saw this one with the volume and power integrated go on sale I couldn't pass on an upgrade. So, I moved one of the old style ones to the guest bedroom and we now have the luxury of one remote for our bedroom. First world problem, I know, but it was a bit cumbersome and annoying having to fidget with 2 remotes. I love having the volume buttons built in. Functionality itself is great as the past versions have been. It works perfect and is extremely easy to setup. All thumbs up."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Samson T,19,9,"Not only does every TV in our house have these, we got one for the in-laws and they now have them on all their TV's. All programming apps are in one place. Big access to many free streaming channels ( that are usually ad supported with commercials) so there's always something to watch. Works with older HD TV's that don't have room for the ever growing number of streaming apps. Also work with Spectrum cable, all through your home WI-FI, so you don't need to rent another box (unless you have their higher tier services). Excellent if you have good household WI-FI to use anywhere without the worry of running any cable lines. Remote can control most TV's, but there are some older TV's they can't control for basic volume and off the air channeling. Also can't control the sound bars we have currently. Other than those few minor things, a great value, and a one-time price."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Patricia Bage,30,49,"I am still exploring this amazing product but so far it is amazing, so many channels and opportunities. I love that I can now watch you tube which is a favorite. I do miss OANN channel but have so many others. Sports, gardening, fishing, religious, so many free ones. This is the best thing I've done in a long time, to leave Direct TV. I have no problem with the streaming though my son who lives in Tenn. said he did. Glad I took the chance. Would highly recommend this product."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Chris Napier,34,35,I have always bought Firesticks but after using this I won't be anytime soon. Navigation alone makes this a far superior choice but it is also way smoother to operate. My Firesticks always slow way down no matter what I do. This is remaining quick and way easier to navigate to my content. Amazon has a very slow and crowded home screen compared to the simplicity of the Roku. Definitely a must buy for those older family or friends who aren't so tech savvy like my parents who love theirs also.
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Jimmy O,19,33,"I can’t believe I didn’t buy this years ago. We first wanted to make sure we get all the shows we normally watch. And we do.  I love how this one little remote controls everything. I really love the voice command.  I was blown away when I called the cable company to cancel our cable. It was a difference of $110 !!!!  This really is a no brained. And hey, you’re ordering from Amazon so give it a try and make sure you get everything you like. If not, send it back."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",TF,19,41,"We love our Roku. We've had the one this replaced for probably a decade and only replaced it as streaming services stopped supporting it. We live in the mountains where aerial and cable are unavailable and satellite is unsatisfactory, so being able to use various streaming services on the ""big TV"" is a wonderful convenience."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",E. Goodwin,233,71,"I use ROKU to get to FUBO and Netflix mostly. The problem with ROKU is you have no way of knowing when the problems you’re having are, evidentially, because the device is too old or outdated. I was stunned at how flawlessly this new one works! I haven’t had to “reboot” or unplug or do any other work around since I updated. Yay! My only complaint is the I have no desire to use the voice features and there is no way to disable that annoyance."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",JRH,916,652,"This excellent ROKU device provides access to multiple channels over the internet without having to purchase cable TV. Of course, access to NETFLIX and other movie services is not free. If you want Apple TV on a SONY TV, the ROKU device is the way to go until SONY and APPLE start playing well with each other. That said, there are plenty of free services made available by ROKU including the evening news and access to PBS over the internet."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Phillip R,316,271,"I travel for work so this has been great. Just plug in, connect to wifi and bang—all my own accounts logged in and ready to go.  I find the Roku interface to be simple and clean looking. I’m not bombarded with adds or programming I have to buy or rent. I install the channels (aka streaming apps) I want and remove the ones I don’t want.  Super simple setup for hotel, dorm or barracks wifi via your phone."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",jenny carbajal,4,40,"The Internet guy came and got us better quality Internet because my TVs were really slow, he suggested me getting Roku‘s for them instead because it would be way better for the Internet. So I listen to him and boy was he right, it is way faster and I don’t have to wait for the Internet to load on my TV. He also suggests that everybody get cheap TVs without Internet and just use this Roku and it will save you a lot of money you’re welcome"
