WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,label
132,56.53,66.75,71.27,20.23,11.0,9.09,88.64,74.24,62.88,16.67,10.61,2.27,0.0,5.3,0.0,3.03,6.06,16.67,7.58,6.06,16.67,8.33,6.06,4.55,3.03,16.67,5.3,6.82,2.27,1.52,0.76,0.0,12.88,3.03,9.85,0.0,2.27,2.27,3.03,0.0,5.3,0.0,1.52,0.76,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,3.03,0.76,0.0,0.0,0.0,0.76,9.85,0.0,0.0,0.0,0.0,1.52,0.0,0.0,1.52,3.03,0.76,0.76,0.76,0.76,0.0,0.76,0.76,0.0,0.76,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.76,2.27,0.76,0.0,0.0,0.0,0.0,9.09,9.85,0.0,0.76,9.09,0.0,0.0,0.0,6.06,0.76,3.79,1.52,0.0,0.0,0.0,0.0,0.0,18.18,8.33,3.03,0.76,0.0,0.76,5.3,1
112,83.77,56.04,48.09,99.0,14.0,16.96,90.18,64.29,54.46,7.14,7.14,4.46,0.89,0.0,1.79,0.0,0.0,16.96,14.29,0.89,12.5,7.14,8.04,8.04,0.0,11.61,5.36,0.89,5.36,3.57,1.79,0.0,3.57,0.0,3.57,0.89,0.89,0.89,0.0,1.79,0.0,0.0,8.04,8.04,0.0,6.25,6.25,0.0,0.0,0.0,0.0,0.0,8.04,1.79,0.89,0.89,0.0,0.0,0.0,6.25,0.89,0.0,0.0,2.68,0.89,0.0,0.89,0.0,8.93,0.89,4.46,3.57,0.89,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.61,13.39,0.0,2.68,10.71,0.0,0.0,0.0,1.79,8.04,1.79,0.89,0.0,0.0,0.0,0.0,0.0,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0
98,62.82,40.06,44.43,96.32,19.6,20.41,83.67,67.35,56.12,7.14,2.04,0.0,0.0,1.02,0.0,1.02,5.1,18.37,12.24,1.02,10.2,9.18,8.16,8.16,2.04,14.29,8.16,3.06,0.0,0.0,0.0,0.0,11.22,5.1,6.12,0.0,1.02,3.06,1.02,0.0,2.04,0.0,6.12,6.12,0.0,2.04,2.04,0.0,0.0,0.0,0.0,0.0,6.12,3.06,1.02,1.02,0.0,0.0,1.02,3.06,0.0,0.0,0.0,0.0,1.02,0.0,0.0,1.02,3.06,0.0,1.02,1.02,2.04,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,1.02,0.0,1.02,0.0,0.0,0.0,0.0,0.0,7.14,12.24,0.0,1.02,11.22,0.0,1.02,0.0,6.12,0.0,11.22,1.02,0.0,0.0,0.0,0.0,0.0,33.67,22.45,2.04,3.06,0.0,2.04,4.08,1
78,27.72,93.13,16.81,60.52,13.0,12.82,93.59,74.36,61.54,15.38,8.97,1.28,7.69,0.0,0.0,0.0,6.41,15.38,10.26,0.0,10.26,15.38,6.41,5.13,2.56,24.36,6.41,1.28,7.69,7.69,0.0,0.0,7.69,2.56,3.85,0.0,0.0,0.0,1.28,0.0,2.56,0.0,5.13,3.85,1.28,1.28,1.28,0.0,0.0,0.0,0.0,0.0,12.82,2.56,1.28,0.0,0.0,0.0,1.28,10.26,0.0,0.0,1.28,1.28,0.0,0.0,0.0,0.0,10.26,1.28,3.85,1.28,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.41,10.26,0.0,0.0,7.69,2.56,0.0,0.0,1.28,19.23,1.28,0.0,0.0,0.0,0.0,0.0,0.0,11.54,7.69,1.28,0.0,0.0,2.56,0.0,1
130,96.23,17.19,17.99,68.66,10.0,20.0,83.85,63.08,50.77,3.08,1.54,0.77,0.77,0.0,0.0,0.0,1.54,22.31,13.85,4.62,12.31,5.38,6.15,1.54,3.08,8.46,10.0,6.15,1.54,1.54,0.0,0.0,7.69,3.08,4.62,0.0,0.77,0.0,0.0,0.0,3.08,0.0,7.69,5.38,2.31,2.31,1.54,0.77,0.0,0.0,0.77,0.0,5.38,3.08,0.0,0.77,0.0,0.77,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92,0.0,3.08,2.31,1.54,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,10.77,9.23,0.0,0.0,7.69,1.54,0.0,0.0,1.54,8.46,0.0,0.77,0.0,0.0,0.0,0.0,0.0,19.23,10.0,4.62,0.0,0.0,0.0,4.62,1
199,36.51,58.02,60.59,6.95,15.31,9.05,87.94,72.36,63.32,11.56,10.05,3.02,4.02,2.01,0.0,1.01,1.51,18.59,8.54,4.02,12.06,10.55,7.54,7.04,5.03,16.08,4.02,6.53,4.52,4.52,0.0,0.0,11.56,3.02,7.54,1.01,0.5,0.5,1.51,1.01,3.52,0.0,2.51,0.5,2.01,1.51,0.5,1.01,0.0,1.01,0.0,0.0,11.06,2.51,0.5,0.0,0.5,0.5,1.01,8.54,0.5,0.0,0.0,0.5,1.01,0.0,0.0,1.01,4.02,0.0,2.51,0.5,1.01,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.5,1.01,0.0,1.01,0.0,0.5,1.51,0.5,0.0,0.0,0.0,0.0,7.54,10.55,1.01,0.5,8.54,0.0,0.5,0.0,3.52,8.54,1.01,0.5,0.0,0.0,0.0,0.0,0.0,12.06,5.53,3.02,0.0,2.01,1.51,0.0,1
81,66.04,33.09,52.89,99.0,13.5,20.99,88.89,70.37,58.02,8.64,6.17,4.94,0.0,0.0,0.0,1.23,2.47,14.81,9.88,0.0,13.58,8.64,4.94,11.11,1.23,13.58,8.64,1.23,2.47,1.23,0.0,1.23,4.94,1.23,3.7,0.0,0.0,2.47,0.0,1.23,1.23,0.0,11.11,11.11,0.0,4.94,4.94,0.0,0.0,0.0,0.0,0.0,7.41,1.23,0.0,0.0,0.0,0.0,0.0,6.17,1.23,1.23,0.0,1.23,0.0,0.0,0.0,0.0,6.17,1.23,3.7,1.23,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,9.88,13.58,0.0,1.23,12.35,0.0,0.0,0.0,1.23,3.7,6.17,0.0,0.0,0.0,0.0,0.0,0.0,12.35,1.23,3.7,0.0,6.17,1.23,0.0,0
86,67.79,1.54,76.46,3.38,17.2,13.95,77.91,66.28,53.49,10.47,6.98,6.98,0.0,0.0,0.0,0.0,3.49,13.95,8.14,5.81,11.63,9.3,4.65,3.49,2.33,18.6,4.65,3.49,0.0,0.0,0.0,0.0,9.3,2.33,6.98,2.33,1.16,0.0,0.0,0.0,3.49,0.0,4.65,1.16,3.49,4.65,1.16,3.49,0.0,0.0,2.33,0.0,3.49,3.49,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,1.16,3.49,0.0,1.16,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,6.98,8.14,1.16,0.0,6.98,0.0,0.0,0.0,2.33,5.81,2.33,2.33,1.16,1.16,0.0,0.0,0.0,11.63,3.49,3.49,0.0,4.65,0.0,0.0,1
72,41.36,2.75,89.39,98.34,14.4,19.44,90.28,75.0,61.11,15.28,8.33,6.94,0.0,0.0,0.0,1.39,6.94,13.89,9.72,1.39,11.11,11.11,4.17,8.33,1.39,18.06,6.94,4.17,2.78,0.0,1.39,1.39,8.33,1.39,6.94,0.0,1.39,1.39,0.0,0.0,4.17,0.0,6.94,6.94,0.0,2.78,2.78,0.0,0.0,0.0,0.0,0.0,2.78,1.39,0.0,0.0,0.0,0.0,1.39,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,1.39,2.78,1.39,0.0,1.39,1.39,0.0,1.39,0.0,0.0,0.0,0.0,0.0,1.39,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,5.56,12.5,0.0,0.0,12.5,0.0,0.0,0.0,2.78,11.11,2.78,0.0,0.0,0.0,0.0,0.0,0.0,9.72,6.94,1.39,0.0,0.0,1.39,0.0,1
201,65.11,26.56,44.91,42.34,13.4,19.4,85.57,73.13,58.21,6.97,3.48,1.49,1.0,0.5,0.0,0.5,3.48,16.42,12.44,0.5,10.95,11.94,6.97,7.46,1.49,17.41,10.45,3.48,2.99,1.49,1.49,0.0,8.46,0.0,8.46,0.0,1.0,1.49,1.0,0.5,3.98,0.0,6.47,3.98,2.49,1.49,0.5,1.0,0.0,0.0,0.0,0.0,5.47,1.99,1.49,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0,0.0,1.49,0.5,0.0,1.0,5.47,0.5,3.48,1.49,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.97,10.45,0.0,1.0,8.46,0.5,0.0,0.5,3.98,9.95,1.0,0.5,0.5,0.0,0.5,0.0,0.0,14.43,8.46,2.99,0.0,0.0,0.5,2.49,1
108,91.86,34.78,39.59,97.38,15.43,17.59,88.89,64.81,52.78,7.41,2.78,0.93,0.0,0.0,0.0,1.85,4.63,19.44,14.81,0.0,12.96,6.48,3.7,7.41,0.93,10.19,9.26,0.93,4.63,0.0,0.93,3.7,9.26,0.93,8.33,0.0,1.85,1.85,0.0,0.93,2.78,0.0,6.48,6.48,0.0,0.93,0.93,0.0,0.0,0.0,0.0,0.0,9.26,2.78,0.0,0.0,0.0,0.0,0.0,3.7,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,2.78,5.56,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,4.63,14.81,0.93,0.93,11.11,2.78,0.0,0.0,2.78,0.93,5.56,0.0,0.0,0.0,0.0,0.0,0.0,8.33,5.56,1.85,0.0,0.93,0.0,0.0,0
128,24.22,67.52,70.54,43.51,12.8,22.66,91.41,70.31,57.81,10.94,7.81,0.78,3.13,0.78,0.78,2.34,3.13,13.28,7.03,1.56,10.94,9.38,13.28,6.25,3.91,15.63,5.47,3.91,3.13,3.13,0.0,0.0,21.09,3.13,17.97,2.34,2.34,6.25,3.13,1.56,5.47,0.0,3.13,2.34,0.78,1.56,0.78,0.78,0.0,0.0,0.78,0.0,14.06,3.91,0.0,0.78,0.0,0.0,2.34,10.94,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,7.03,0.0,0.78,5.47,2.34,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,1.56,2.34,0.0,0.0,0.0,0.0,6.25,11.72,0.0,0.78,10.94,0.0,0.0,0.0,7.81,2.34,7.03,0.0,0.78,0.0,0.78,0.0,0.0,16.41,7.03,5.47,0.78,0.0,1.56,1.56,1
105,48.23,16.63,14.87,99.0,52.5,15.24,83.81,66.67,55.24,8.57,5.71,4.76,0.95,0.0,0.0,0.0,2.86,17.14,11.43,3.81,6.67,9.52,6.67,9.52,0.95,11.43,8.57,7.62,1.9,0.95,0.0,0.95,9.52,3.81,5.71,0.95,0.0,0.95,0.0,0.0,1.9,0.0,10.48,8.57,0.95,7.62,5.71,0.95,0.95,0.0,0.0,0.0,2.86,0.95,0.0,0.0,0.0,0.0,0.95,1.9,0.0,0.0,0.0,0.95,1.9,0.0,0.0,1.9,4.76,1.9,1.9,0.0,0.95,0.0,1.9,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,6.67,0.95,0.0,3.81,0.95,0.95,0.0,1.9,9.52,0.95,0.0,0.95,0.0,0.95,0.0,0.0,10.48,0.0,9.52,0.0,0.95,0.0,0.0,1
117,85.57,84.99,20.98,73.67,19.5,11.11,88.03,67.52,58.12,12.82,8.55,3.42,4.27,0.85,0.0,0.0,4.27,22.22,12.82,3.42,13.68,6.84,2.56,6.84,0.0,12.82,5.13,6.84,5.13,5.13,0.0,0.0,7.69,0.85,6.84,0.85,0.0,4.27,0.0,0.85,0.0,0.0,3.42,3.42,0.0,1.71,1.71,0.0,0.0,0.0,0.0,0.0,8.55,1.71,0.85,0.85,0.0,0.0,0.0,6.84,0.85,0.0,0.85,0.0,0.0,0.0,0.0,0.0,3.42,0.85,0.85,1.71,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,1.71,0.0,0.0,0.85,0.0,0.0,0.0,0.0,8.55,8.55,0.0,2.56,5.98,0.85,0.0,0.85,5.13,4.27,2.56,0.85,0.0,0.0,0.0,0.0,0.0,10.26,5.13,0.85,0.0,0.0,1.71,2.56,0
180,64.48,49.98,70.65,45.29,12.0,14.44,90.56,74.44,61.67,16.11,10.0,5.0,5.0,0.0,0.0,0.0,6.11,19.44,11.11,0.0,13.33,10.0,3.89,3.89,2.22,17.78,6.67,4.44,8.33,8.33,0.0,0.0,11.11,0.56,10.56,3.33,0.56,1.67,2.22,0.56,3.89,0.0,3.89,2.22,0.56,2.78,1.11,0.56,0.0,0.0,0.56,0.0,9.44,1.67,0.56,0.0,0.0,0.0,1.11,7.78,2.22,0.0,1.11,0.0,0.0,0.0,0.0,0.0,7.78,0.56,3.89,1.11,2.22,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,2.78,11.67,0.0,1.11,7.22,3.33,0.56,0.0,2.22,9.44,2.78,2.78,0.0,0.0,0.0,0.0,0.0,13.33,8.33,1.67,0.0,0.0,1.11,2.22,0
233,86.99,9.94,84.04,46.12,21.18,18.45,83.26,65.67,54.51,14.16,10.3,7.73,0.0,0.86,0.86,0.86,3.86,19.31,12.45,0.43,14.16,4.29,3.86,4.72,1.29,12.88,6.01,2.15,2.58,0.43,0.86,1.29,7.73,0.0,7.73,2.58,1.29,0.86,1.29,0.0,3.0,0.0,1.72,1.72,0.0,0.43,0.43,0.0,0.0,0.0,0.0,0.0,6.44,2.15,0.0,0.43,0.0,0.0,0.86,4.29,0.0,0.0,0.86,1.29,0.86,0.0,0.0,0.86,5.58,1.29,3.0,0.43,0.43,0.43,4.29,0.86,0.0,0.43,0.0,0.43,0.0,2.58,0.0,0.0,0.0,0.43,0.0,1.29,0.0,0.0,0.43,0.43,3.86,13.73,1.72,2.58,8.15,0.86,0.0,0.86,1.29,1.72,4.72,0.86,0.43,0.0,0.0,0.43,0.0,14.59,4.29,4.29,0.0,0.43,3.43,2.15,0
119,68.82,73.71,58.66,97.98,23.8,13.45,87.39,72.27,58.82,13.45,8.4,4.2,4.2,0.0,0.0,0.0,5.04,21.85,12.61,5.04,10.92,7.56,5.88,6.72,0.0,12.61,7.56,7.56,9.24,5.88,1.68,1.68,1.68,0.0,1.68,0.0,0.0,0.0,0.0,0.84,0.84,0.0,6.72,6.72,0.0,2.52,2.52,0.0,0.0,0.0,0.0,0.0,11.76,5.04,1.68,0.0,0.0,0.0,0.84,6.72,0.84,0.0,0.0,0.84,0.0,0.0,0.0,0.0,4.2,0.0,0.84,2.52,0.84,0.0,1.68,0.0,0.0,0.0,0.0,0.84,0.0,1.68,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,7.56,8.4,0.0,0.84,5.88,0.0,0.0,1.68,7.56,9.24,1.68,0.0,0.0,0.0,0.0,0.0,0.0,11.76,4.2,0.84,0.0,0.0,0.84,5.88,1
84,32.31,1.0,95.34,88.66,21.0,11.9,96.43,78.57,67.86,10.71,8.33,8.33,0.0,0.0,0.0,0.0,2.38,21.43,11.9,1.19,10.71,14.29,8.33,7.14,4.76,17.86,5.95,9.52,3.57,3.57,0.0,0.0,13.1,4.76,8.33,1.19,0.0,2.38,0.0,0.0,4.76,0.0,4.76,4.76,0.0,1.19,1.19,0.0,0.0,0.0,0.0,0.0,5.95,2.38,1.19,1.19,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,3.57,3.57,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,8.33,11.9,0.0,1.19,10.71,0.0,0.0,0.0,3.57,9.52,2.38,2.38,0.0,0.0,0.0,0.0,0.0,7.14,4.76,1.19,0.0,0.0,1.19,0.0,0
