",",JJS,#,VB,RBR,PRP$,LS,NN,VBP,MD,VBG,EX,VBZ,RBS,JJ,.,JJR,NNPS,VBD,NNS,$,RP,``,IN,DT,TO,'',:,CC,VBN,PRP,WP,WDT,FW,NNP,UH,WRB,CD,PDT,SYM,POS,RB,label
3,0,0,9,1,3,0,34,0,3,5,0,1,0,23,13,0,0,20,12,0,0,0,17,31,8,0,1,12,6,9,0,1,0,10,0,0,1,1,0,0,20,0
5,0,0,12,0,2,0,25,0,4,2,0,1,0,8,9,1,0,8,6,0,2,0,17,17,6,0,0,5,7,10,1,0,0,3,0,0,1,0,0,0,13,0
7,0,0,13,0,4,0,33,4,1,3,0,1,0,12,18,0,1,22,8,0,2,0,20,26,12,4,0,10,5,21,2,0,0,2,0,1,5,0,1,0,13,0
17,6,0,12,0,11,1,56,4,5,6,0,2,0,30,13,0,0,25,3,0,1,0,38,31,11,1,1,10,3,21,0,4,2,4,0,2,1,0,0,0,32,1
2,0,0,2,1,1,0,9,0,2,0,0,0,0,8,6,0,0,4,2,0,0,0,4,6,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,9,0
3,0,0,4,0,2,0,12,5,2,0,0,6,1,8,11,1,0,3,6,0,1,0,9,16,3,0,2,4,2,10,0,1,1,2,0,0,2,0,0,0,10,1
10,0,0,7,0,1,0,16,4,3,2,0,3,0,12,9,0,1,1,5,0,0,0,7,12,4,0,0,8,2,4,0,1,0,0,0,1,0,0,0,0,9,0
3,0,0,10,0,6,0,33,3,4,3,2,1,0,18,13,1,0,20,4,0,2,0,23,20,5,3,0,10,1,24,1,0,0,5,0,4,4,0,0,0,18,0
6,1,0,7,0,3,0,35,0,2,2,0,0,0,16,19,0,0,19,6,0,3,0,20,23,3,1,4,10,3,14,0,1,0,4,1,1,1,0,0,0,14,1
0,0,0,4,0,0,0,10,0,2,0,0,0,0,6,8,0,0,10,0,0,0,0,2,9,1,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,11,0
10,0,0,12,0,3,0,32,1,1,3,0,1,0,14,10,1,0,20,4,0,1,0,18,26,10,0,1,7,4,21,0,0,1,5,0,2,2,0,0,0,8,0
6,0,0,4,0,1,0,23,8,3,2,0,2,0,15,10,0,0,9,6,0,1,0,21,26,2,0,1,6,6,18,0,0,0,12,0,0,1,0,0,0,8,0
11,1,0,4,0,4,0,38,0,1,2,1,3,0,22,13,0,0,26,5,0,0,0,20,26,1,0,0,11,1,24,0,1,0,4,0,1,3,0,0,0,27,0
11,1,0,14,0,3,0,43,6,3,5,2,2,0,21,14,3,0,13,17,0,0,0,25,29,9,1,2,7,3,9,0,1,0,3,0,2,5,0,2,2,13,1
9,0,0,2,0,0,0,12,3,2,0,0,4,0,15,6,0,0,6,9,0,1,0,16,15,2,1,0,6,0,11,0,1,0,6,0,0,0,1,0,1,9,1
13,3,0,10,0,3,0,34,6,3,3,2,3,0,10,12,1,0,16,5,0,1,0,27,26,8,0,0,8,6,21,0,0,0,6,1,0,2,0,0,0,17,0
3,0,0,6,0,4,0,16,0,4,3,1,2,0,6,6,0,0,8,5,0,0,0,12,12,3,0,0,7,1,6,0,0,0,4,0,0,1,0,0,0,10,0
4,1,0,7,0,5,0,30,4,2,2,1,2,0,10,8,3,0,9,4,0,1,0,18,22,4,3,1,6,2,8,0,0,0,4,0,0,1,0,0,0,5,0
3,1,0,1,0,0,0,13,1,1,1,0,6,0,11,6,0,0,1,4,0,0,0,7,11,1,0,0,3,1,2,0,1,0,4,0,0,0,0,0,0,8,0
2,1,0,3,0,3,0,26,6,0,2,0,7,0,21,16,1,1,11,7,0,1,0,20,22,2,0,1,13,3,17,0,0,0,14,0,1,4,2,0,0,10,1
6,1,0,10,0,6,0,34,5,5,2,0,2,0,16,17,1,0,21,5,1,0,0,17,32,1,0,0,8,1,17,0,1,0,13,0,2,3,0,0,0,23,1
7,0,0,8,0,4,0,27,5,3,1,0,1,0,12,8,0,0,12,13,0,0,0,17,15,3,0,0,8,3,12,0,0,0,4,0,2,2,0,0,1,20,0
3,0,0,1,0,0,0,9,0,0,0,0,3,0,3,1,0,0,1,1,0,0,0,3,5,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,0
2,0,0,0,0,2,0,12,0,0,0,0,0,0,4,3,0,0,5,0,0,0,0,3,6,0,0,0,2,1,4,0,0,0,0,0,1,0,0,0,0,2,0
2,0,0,0,0,0,0,4,0,0,2,0,0,0,7,3,0,0,2,1,0,0,0,4,2,0,0,1,4,1,0,0,0,0,9,0,0,1,0,0,0,1,1
5,0,0,12,0,4,0,25,0,4,1,0,0,0,10,9,3,0,16,5,0,3,0,16,20,7,0,0,8,3,15,0,0,0,1,0,2,3,1,0,0,14,0
7,1,0,4,0,7,0,31,5,3,2,0,2,0,12,10,1,0,14,3,0,0,0,17,14,4,2,2,8,4,14,2,0,0,2,0,2,0,0,0,0,12,0
11,0,0,2,0,3,0,31,1,1,2,0,0,0,13,6,1,0,9,4,0,1,0,13,14,1,0,0,4,2,5,0,0,2,3,0,0,0,0,0,0,4,1
13,0,0,16,1,10,0,64,1,7,3,0,1,0,20,22,6,0,35,14,0,0,0,39,41,8,2,1,16,6,28,0,1,0,3,1,0,3,0,0,2,19,0
9,0,0,7,0,3,0,25,5,1,3,0,1,0,13,15,0,0,13,4,2,1,0,18,19,7,2,0,6,3,17,0,2,0,6,0,3,4,0,0,0,5,0
0,0,0,9,0,3,0,36,4,3,3,1,0,0,6,12,0,0,14,2,0,1,0,26,25,8,0,0,4,12,16,1,0,0,2,0,0,1,0,0,0,11,1
2,1,0,3,0,2,0,10,3,2,1,0,0,0,6,6,1,0,10,4,0,0,0,10,11,3,0,1,4,4,11,0,0,0,3,0,0,2,0,0,0,8,0
2,1,0,4,0,1,0,18,1,1,4,0,2,0,9,9,0,0,12,14,1,2,0,13,15,3,0,0,4,1,6,0,2,0,1,0,0,4,0,0,1,7,1
5,0,0,9,0,3,0,29,4,2,4,0,3,0,20,14,0,0,18,5,0,1,0,24,26,8,0,0,10,3,18,0,1,0,9,0,0,0,0,0,0,13,1
6,0,0,9,0,2,9,30,0,3,1,0,1,0,13,8,2,0,21,2,0,1,0,18,22,7,0,1,14,3,14,1,2,5,0,0,2,1,0,0,1,11,0
18,1,0,12,0,12,0,43,4,4,4,0,5,1,17,14,2,0,25,8,0,1,0,26,29,11,1,7,12,4,27,3,1,3,8,0,1,1,0,0,5,28,1
16,0,0,9,0,3,0,32,3,5,3,0,0,0,12,13,1,0,19,6,1,0,0,14,23,5,0,0,8,4,19,0,2,0,11,0,0,4,0,0,0,15,0
7,0,0,6,0,2,0,30,3,3,0,0,3,0,18,10,0,0,7,7,0,1,0,16,16,4,0,2,6,3,6,1,0,0,5,0,0,2,0,0,1,7,1
18,0,0,14,1,8,0,64,7,4,6,0,2,0,24,18,1,0,28,8,1,1,0,31,28,11,1,8,11,8,23,2,1,2,6,0,0,3,1,1,1,17,1
0,0,0,3,0,3,0,9,1,1,1,0,0,0,11,8,0,0,8,5,0,0,0,5,11,4,0,0,3,0,5,0,0,0,3,0,0,0,1,0,0,7,0
6,2,0,2,0,3,0,16,1,1,1,0,0,0,10,9,0,0,14,4,0,0,0,13,10,1,0,0,7,2,9,0,0,0,6,0,1,1,0,0,1,10,0
14,0,0,14,0,6,0,42,0,2,1,3,3,0,19,22,3,0,30,15,0,1,0,31,34,10,1,1,11,3,20,0,0,0,25,0,0,4,0,0,0,19,1
22,0,0,7,0,4,0,51,8,1,4,1,1,0,17,17,0,0,23,16,0,1,0,27,37,4,2,1,10,6,24,1,1,3,7,0,2,3,1,0,0,16,0
3,0,0,3,0,3,2,21,1,2,2,0,1,0,9,6,1,0,9,5,0,1,0,15,13,0,0,0,3,11,6,0,1,1,3,0,1,1,0,0,1,9,0
4,0,0,2,0,1,0,17,0,2,1,0,2,0,10,7,0,0,7,1,0,0,0,3,9,1,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,7,0
9,1,0,13,0,4,0,36,3,3,6,1,1,0,17,16,0,0,26,10,0,1,0,35,31,12,0,0,13,4,30,0,0,0,2,1,2,3,0,0,1,21,1
10,1,0,7,0,5,0,31,4,2,4,0,5,0,12,10,1,0,12,5,0,2,0,22,19,5,1,0,6,3,16,0,2,0,3,0,1,3,0,0,0,14,0
1,0,0,3,0,0,0,18,2,0,1,0,3,0,6,4,0,0,0,3,0,0,0,8,13,2,0,0,5,0,2,0,1,0,1,0,0,0,0,0,0,1,0
12,0,0,19,1,10,0,68,4,5,0,1,4,0,18,13,2,0,32,8,0,1,0,45,51,18,0,1,22,12,22,1,3,0,11,0,1,4,0,0,1,27,0
1,0,0,6,0,0,0,16,1,1,2,0,7,0,6,10,0,0,1,1,0,1,0,8,13,2,0,0,2,3,6,0,0,0,4,0,0,2,0,0,0,8,1
4,0,0,1,2,0,0,13,4,2,2,0,0,0,14,7,1,0,8,7,1,1,0,15,11,2,0,1,5,0,10,2,0,0,7,0,1,3,1,0,0,4,1
5,1,0,5,0,3,0,20,1,1,1,2,1,0,4,9,0,0,10,4,0,0,0,13,15,3,0,0,3,5,5,0,0,0,3,0,0,5,0,0,0,5,0
10,0,0,5,0,3,0,27,0,2,0,0,4,0,15,4,1,0,10,4,0,1,0,9,10,6,0,4,3,5,6,1,1,1,1,0,0,2,0,0,1,8,1
3,1,0,5,1,0,0,21,3,3,4,0,3,0,11,5,1,0,1,5,0,0,0,15,12,5,0,0,3,0,4,0,0,2,5,0,0,2,0,0,0,4,1
0,0,0,7,0,0,0,15,2,2,0,0,0,0,5,9,1,0,7,2,0,1,0,7,13,4,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,11,0
10,0,0,4,0,5,0,34,2,1,2,0,0,0,16,7,0,0,10,2,0,0,0,15,14,6,0,0,7,4,9,0,0,0,16,0,1,2,1,0,1,4,0
13,2,0,11,0,2,0,42,8,2,3,0,7,0,16,19,0,1,14,4,1,1,0,16,26,8,2,1,7,3,20,1,3,0,1,0,1,2,0,0,0,13,1
2,3,0,8,0,6,0,28,4,2,3,0,3,0,13,16,1,0,7,8,0,1,0,24,26,4,0,0,5,2,8,0,0,1,9,0,0,3,0,0,0,14,1
14,2,0,6,0,1,0,41,7,1,4,0,10,0,37,11,1,0,1,11,0,1,0,24,25,2,2,2,9,4,5,1,3,0,18,0,0,3,0,0,0,11,0
4,1,0,5,0,2,0,21,3,1,2,0,2,1,12,9,1,0,8,5,0,0,0,13,13,4,1,3,6,1,11,1,0,0,7,0,0,3,0,2,0,7,1
5,0,0,10,1,9,0,44,2,2,6,1,2,0,9,20,0,0,28,7,0,2,0,33,23,11,0,0,13,8,31,0,1,0,8,0,2,4,0,0,0,16,0
4,1,0,1,0,2,0,14,2,1,2,0,1,0,12,5,0,1,3,2,0,0,0,7,6,2,0,1,4,1,3,2,0,2,3,0,0,2,0,0,0,5,1
7,0,0,12,1,1,0,32,1,4,3,1,1,0,19,16,1,0,12,11,0,0,0,23,20,7,0,2,9,6,5,0,0,0,15,0,0,4,0,0,0,18,1
5,0,0,4,0,0,0,31,1,2,4,0,1,0,12,14,0,0,18,9,0,0,0,16,27,3,2,0,7,2,13,1,0,0,0,0,2,2,0,0,1,10,0
19,0,0,14,2,8,0,66,15,7,8,0,8,0,24,25,1,0,15,14,3,3,0,43,39,7,3,2,11,5,29,2,2,4,9,0,4,12,0,2,1,20,1
1,0,0,7,0,4,0,24,5,2,4,0,3,0,7,10,1,0,7,6,0,0,0,18,19,5,0,0,5,5,8,1,0,0,5,0,0,1,0,0,0,13,0
8,0,0,2,2,1,0,22,2,0,1,0,1,0,13,9,0,0,11,7,0,1,1,19,13,2,0,0,6,0,14,1,0,1,3,0,0,6,0,0,0,11,1
8,1,0,13,1,4,0,32,2,5,5,0,1,0,26,10,1,0,18,9,0,4,0,22,24,6,0,0,11,3,17,0,0,0,10,0,3,0,0,0,0,16,0
8,0,0,7,0,4,0,40,4,2,0,0,2,0,21,18,1,0,16,9,0,0,0,19,29,4,1,0,12,5,17,0,1,0,19,0,1,6,0,0,0,14,1
9,0,0,14,0,3,0,39,6,3,1,2,6,0,26,29,0,0,28,11,3,0,0,35,34,6,0,2,14,5,27,0,0,0,7,1,2,9,0,0,1,32,1
2,0,0,2,0,0,0,5,0,0,1,0,0,0,9,4,0,0,4,3,0,0,0,2,1,1,0,0,4,2,1,0,0,0,1,0,0,0,0,0,0,3,0
7,1,0,9,0,3,0,27,0,1,4,0,0,0,6,3,1,0,13,12,0,0,0,26,21,4,0,2,5,5,9,1,0,0,6,0,0,3,0,0,0,10,0
30,0,0,25,2,8,0,71,4,9,11,1,9,0,31,22,2,0,39,13,0,4,0,63,47,19,1,1,22,12,51,1,4,0,4,0,4,1,0,0,1,26,0
8,0,0,6,0,0,0,22,0,1,4,0,6,0,21,14,0,3,2,12,0,1,0,15,16,7,0,0,9,4,2,0,0,3,8,0,0,1,2,0,2,18,1
1,1,0,2,0,2,0,22,1,1,0,0,0,0,7,7,0,0,5,4,0,0,0,13,11,2,0,0,3,2,4,1,0,1,5,0,0,2,0,0,0,5,0
9,0,0,11,1,6,0,32,0,1,2,1,2,0,15,6,1,0,9,6,0,0,0,23,17,7,0,0,7,4,9,0,0,0,5,0,1,0,3,0,1,10,0
1,0,0,5,0,2,0,35,1,3,1,5,1,0,27,16,0,0,22,5,0,0,0,16,23,4,0,0,10,1,15,0,2,0,4,0,0,1,0,0,0,15,0
6,0,0,2,1,3,0,21,0,1,1,2,4,0,15,13,1,0,11,5,0,0,0,10,22,1,0,0,4,1,5,0,0,0,1,0,0,0,0,0,1,15,1
3,0,0,2,0,1,0,16,1,0,2,0,1,0,9,7,0,0,6,5,0,0,0,15,16,0,0,0,4,1,4,0,1,0,11,0,0,0,0,0,0,6,1
3,1,0,5,0,2,0,16,3,0,3,0,3,0,9,7,0,0,4,1,0,0,0,9,12,5,0,0,3,1,6,0,1,0,3,0,1,1,1,0,0,5,0
5,0,0,4,1,7,0,30,8,2,0,0,6,0,13,13,1,0,9,8,2,0,0,17,18,5,0,0,6,0,16,1,2,0,10,0,0,5,0,0,0,10,0
4,2,0,2,1,0,0,33,3,3,0,1,1,0,15,9,0,0,7,4,1,0,0,22,17,2,0,2,4,3,3,0,0,0,9,0,0,2,0,0,0,5,1
3,0,0,9,0,3,0,12,1,4,2,0,1,0,7,5,0,0,6,1,0,0,0,10,13,3,0,0,3,3,13,0,0,0,6,0,1,0,0,0,0,7,1
0,1,0,1,0,1,0,19,2,0,0,1,2,0,14,6,1,0,12,2,0,1,0,11,14,1,0,0,5,4,3,0,3,0,6,0,0,0,0,0,0,2,1
4,0,0,9,1,3,0,53,0,0,2,1,1,0,20,16,1,0,34,5,0,1,0,29,33,9,0,3,11,10,21,0,2,0,0,0,3,2,1,0,0,11,0
11,0,0,13,0,8,0,40,0,2,8,1,2,0,17,16,0,0,27,13,0,1,0,30,34,17,0,0,13,9,22,1,1,0,8,0,3,3,0,0,1,25,0
2,0,0,1,0,1,0,14,0,1,1,0,0,0,2,4,0,0,7,2,0,0,0,7,8,1,0,0,3,1,5,2,0,0,4,0,1,2,0,0,0,5,0
0,0,0,1,0,1,0,10,1,0,1,1,1,0,6,4,0,0,4,5,0,0,0,9,10,1,0,3,1,2,4,2,0,0,6,0,0,1,0,0,0,3,0
3,0,0,3,0,4,0,18,0,2,2,1,0,0,2,5,0,0,8,2,1,1,0,10,11,1,0,0,3,0,6,0,0,0,7,0,1,2,0,0,0,9,0
2,0,0,2,0,2,0,22,2,1,1,2,3,0,9,8,0,0,7,4,0,1,0,11,13,2,0,0,7,6,4,0,1,0,1,0,1,1,0,0,0,5,1
3,1,0,10,0,10,0,39,1,1,5,0,1,0,12,15,0,0,20,6,0,3,0,30,21,8,1,0,5,6,18,1,0,0,7,0,1,3,1,1,0,13,0
3,0,0,16,0,4,0,40,2,4,5,1,1,0,10,18,1,0,33,4,1,5,0,20,30,13,0,0,12,4,32,0,1,0,6,0,3,3,0,0,0,12,0
14,0,0,9,2,5,0,49,6,0,4,0,7,0,22,32,3,0,23,9,1,2,0,31,38,9,1,1,9,13,17,1,2,0,5,0,1,8,0,2,0,22,1
6,0,0,2,0,1,0,26,0,1,3,0,4,0,16,7,0,0,10,6,0,0,0,14,22,3,0,0,8,1,9,0,3,0,19,0,0,3,0,0,0,12,0
9,0,0,10,0,8,0,28,5,3,6,0,0,0,12,14,0,0,18,6,0,2,0,17,20,5,1,0,8,5,22,0,0,0,6,0,4,1,1,0,1,19,0
2,0,0,5,0,5,0,31,2,1,1,0,0,0,10,10,0,0,21,8,0,1,0,16,20,4,0,5,10,7,6,0,1,0,3,0,0,8,0,0,0,8,1
6,0,0,1,0,0,0,34,1,1,3,3,2,0,10,14,1,0,15,3,0,0,0,15,23,0,0,0,6,8,5,0,2,0,0,0,0,0,0,0,0,11,1
2,1,0,11,1,4,0,34,6,2,1,0,10,0,18,12,0,0,3,6,0,0,0,20,22,8,0,1,9,3,8,0,2,0,8,0,1,0,0,0,0,6,0
15,0,0,21,0,15,0,69,11,6,6,3,6,0,32,45,2,0,47,16,11,4,0,57,50,8,2,2,23,8,51,3,1,2,11,0,1,20,0,2,1,35,1
6,1,0,7,0,3,0,18,5,2,3,1,2,1,7,7,0,0,11,7,0,1,0,17,14,4,0,0,6,3,14,0,2,0,3,0,2,3,0,0,0,8,0
8,1,0,12,1,8,1,35,14,4,10,1,4,0,15,19,0,0,14,10,0,6,0,23,21,7,1,0,12,6,25,1,1,2,2,0,1,2,0,0,0,11,1
6,0,0,5,0,1,0,17,5,3,2,1,5,0,13,15,0,0,1,5,0,0,0,11,12,2,1,0,4,3,11,0,0,0,2,0,2,0,1,0,0,15,1
6,1,0,6,0,5,0,31,2,0,1,0,0,0,13,12,0,0,18,4,1,1,0,13,24,5,0,0,8,1,16,0,0,2,10,0,1,1,0,0,3,8,1
2,0,0,0,0,2,0,15,0,0,3,0,0,0,4,5,1,0,7,2,0,0,0,8,8,0,0,0,3,4,5,0,0,0,4,0,0,0,0,0,0,4,0
2,0,0,3,0,4,1,13,0,1,0,0,0,0,11,6,0,0,9,5,0,0,0,6,12,4,0,0,2,1,1,0,0,1,1,0,0,1,0,0,0,2,0
12,1,0,8,0,4,0,26,4,3,1,0,0,0,8,8,0,0,13,3,0,1,0,19,20,4,0,0,6,5,16,1,0,0,3,0,1,0,0,0,2,18,0
1,0,0,5,0,1,0,14,0,0,0,0,1,0,8,6,0,0,11,1,0,0,0,6,10,2,0,0,3,3,8,0,0,0,1,0,0,0,0,0,0,6,1
4,0,0,5,1,2,0,15,1,4,0,0,1,0,9,10,0,0,7,3,3,0,0,9,7,1,0,1,4,1,9,0,0,0,4,0,0,3,0,0,0,7,1
4,0,0,3,1,2,0,8,0,1,0,0,0,0,8,7,0,0,5,0,0,0,0,4,2,2,0,0,2,2,2,0,0,0,4,0,1,0,0,0,0,6,1
2,0,0,2,0,2,0,14,0,1,0,2,2,0,7,4,0,0,2,3,0,0,0,8,10,3,0,0,5,0,1,0,0,0,7,0,0,1,0,0,0,5,1
7,0,0,10,0,1,0,21,2,0,3,0,2,0,20,10,0,0,8,7,0,1,0,20,23,8,0,1,10,2,6,0,0,0,19,0,0,1,0,0,0,3,0
12,0,0,10,0,1,0,53,1,1,14,1,1,0,20,19,2,0,41,10,0,6,0,28,47,12,0,0,15,7,31,4,1,2,1,0,3,2,1,0,2,33,0
12,0,0,6,0,0,0,30,4,1,4,0,3,0,14,9,1,0,11,8,0,4,0,18,12,7,0,4,5,4,8,0,1,1,3,0,1,5,0,0,0,11,1
1,0,0,2,0,0,0,1,2,2,3,0,1,0,2,3,0,0,0,3,0,0,0,3,4,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,3,0
7,0,0,2,0,1,0,11,2,2,1,0,4,0,3,6,1,0,8,3,0,2,0,10,10,0,0,0,3,2,10,2,0,0,3,0,2,1,0,0,0,6,0
1,0,0,3,0,3,0,8,0,1,1,0,0,0,9,7,0,0,9,3,0,1,0,5,6,3,0,0,4,0,10,0,0,0,4,0,2,0,1,0,1,11,0
