",",JJS,#,VB,RBR,PRP$,LS,NN,VBP,MD,VBG,EX,VBZ,RBS,JJ,.,JJR,NNPS,VBD,NNS,$,RP,``,IN,DT,TO,'',:,CC,VBN,PRP,WP,WDT,FW,NNP,UH,WRB,CD,PDT,SYM,POS,RB,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,label
3,0,0,2,0,3,0,13,0,1,1,0,0,0,10,0,0,0,2,3,0,1,0,9,7,1,0,9,2,0,2,0,0,0,10,0,0,1,0,1,0,4,71,97.71,84.65,41.26,99.0,71.0,21.13,80.28,63.38,46.48,8.45,7.04,1.41,4.23,0.0,0.0,1.41,1.41,16.9,8.45,1.41,18.31,2.82,2.82,2.82,0.0,8.45,12.68,4.23,7.04,4.23,0.0,2.82,11.27,0.0,9.86,1.41,1.41,2.82,0.0,0.0,2.82,1.41,12.68,12.68,0.0,4.23,4.23,0.0,0.0,0.0,0.0,0.0,14.08,5.63,1.41,0.0,0.0,0.0,4.23,8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82,0.0,1.41,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,1.41,9.86,19.72,4.23,0.0,14.08,1.41,0.0,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.72,0.0,4.23,0.0,0.0,0.0,15.49,1
3,0,0,6,0,2,0,15,0,2,1,0,0,0,11,8,1,1,10,5,0,0,0,6,13,3,0,0,8,2,7,0,0,0,2,0,1,0,0,0,0,7,102,43.77,20.0,26.78,95.42,12.75,20.59,88.24,71.57,58.82,8.82,7.84,4.9,0.0,0.0,0.0,2.94,0.98,14.71,11.76,0.0,9.8,13.73,3.92,10.78,2.94,19.61,9.8,0.98,3.92,1.96,0.98,0.98,10.78,0.0,10.78,0.98,0.98,2.94,1.96,0.98,4.9,0.0,5.88,5.88,0.0,0.98,0.98,0.0,0.0,0.0,0.0,0.0,11.76,4.9,0.98,0.98,0.0,0.0,0.0,8.82,2.94,1.96,0.0,0.0,0.98,0.0,0.98,0.0,1.96,0.0,0.0,1.96,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,7.84,5.88,0.98,0.0,2.94,0.0,0.0,1.96,3.92,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,5.88,2.94,0.0,1.96,0.98,0.0,0
4,0,0,12,0,3,0,17,5,1,0,0,1,0,5,6,0,0,7,3,3,0,0,17,10,8,0,0,5,0,12,0,0,2,4,0,0,6,0,0,0,12,125,51.7,1.0,97.33,11.97,20.83,8.8,89.6,72.8,64.8,13.6,11.2,8.0,0.0,1.6,0.0,1.6,2.4,13.6,6.4,4.8,18.4,10.4,5.6,8.0,3.2,16.8,5.6,2.4,0.0,0.0,0.0,0.0,12.0,0.8,10.4,0.0,0.8,0.8,1.6,0.0,8.0,0.0,4.0,1.6,2.4,2.4,0.8,1.6,0.8,0.0,0.8,0.0,6.4,3.2,0.0,0.0,0.0,0.8,0.8,3.2,0.0,0.0,0.0,0.0,2.4,0.0,0.0,2.4,4.0,0.0,0.8,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.8,0.8,1.6,0.0,0.0,0.0,0.0,0.0,5.6,9.6,0.8,0.8,8.0,0.0,0.0,0.0,4.8,8.8,3.2,2.4,0.0,0.0,0.0,0.0,0.0,15.2,3.2,3.2,0.0,1.6,0.8,6.4,0
3,0,0,0,0,0,0,7,1,0,1,0,0,0,8,7,0,0,3,2,0,0,0,7,8,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,2,47,92.17,18.61,91.07,99.0,6.71,17.02,87.23,65.96,51.06,8.51,4.26,4.26,0.0,0.0,0.0,0.0,4.26,21.28,12.77,0.0,12.77,6.38,6.38,0.0,2.13,10.64,12.77,4.26,2.13,2.13,0.0,0.0,4.26,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.77,12.77,0.0,4.26,4.26,0.0,0.0,0.0,0.0,0.0,8.51,4.26,2.13,0.0,2.13,0.0,2.13,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,4.26,4.26,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.64,21.28,0.0,2.13,19.15,0.0,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.28,14.89,6.38,0.0,0.0,0.0,0.0,1
5,0,0,4,0,2,0,9,2,0,1,2,0,0,4,8,1,0,18,3,0,3,0,8,8,5,0,0,2,4,16,1,0,0,3,0,4,0,0,0,0,10,108,8.99,1.45,99.0,99.0,13.5,15.74,94.44,80.56,65.74,19.44,15.74,12.96,0.0,0.0,0.0,2.78,3.7,11.11,4.63,0.0,12.96,10.19,13.89,6.48,1.85,22.22,2.78,3.7,4.63,1.85,1.85,0.93,12.96,3.7,9.26,1.85,0.0,0.0,0.93,3.7,2.78,0.0,7.41,7.41,0.0,1.85,1.85,0.0,0.0,0.0,0.0,0.0,10.19,5.56,1.85,0.0,0.0,0.93,2.78,4.63,0.0,0.0,0.93,0.0,0.93,0.0,0.0,0.93,3.7,0.0,1.85,1.85,0.93,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,5.56,18.52,0.93,2.78,13.89,0.93,0.0,0.0,7.41,19.44,0.93,0.0,0.0,0.0,0.0,0.0,0.0,13.89,7.41,4.63,0.0,0.0,1.85,0.0,0
15,0,0,16,1,15,0,92,4,6,5,5,3,0,35,21,2,0,46,20,0,3,0,58,57,13,1,1,17,14,28,1,5,0,10,0,2,0,0,0,1,23,477,71.11,7.35,87.76,38.43,21.68,18.87,87.63,69.18,57.65,11.53,8.18,6.71,0.21,0.0,0.0,1.26,3.35,18.03,10.27,0.84,14.88,10.06,4.61,6.5,1.68,15.3,6.92,2.52,2.52,0.63,0.63,1.47,10.48,0.63,9.64,0.84,1.47,1.26,1.47,0.84,2.52,0.0,3.98,2.52,1.26,1.68,0.63,0.84,0.0,0.42,0.0,0.0,4.4,1.68,0.0,0.21,0.0,0.21,0.42,2.73,0.21,0.0,0.0,0.0,1.47,0.0,0.0,1.47,6.5,0.42,2.52,3.35,0.42,0.0,1.68,0.21,0.0,0.0,0.0,0.21,0.0,0.84,0.0,0.63,0.0,1.47,0.42,0.21,0.0,0.21,0.0,0.21,6.29,13.84,0.21,0.84,11.53,0.21,0.42,0.63,3.35,10.9,1.26,0.84,0.0,0.0,0.0,0.0,0.0,11.32,5.03,3.14,0.0,0.0,1.47,1.68,0
10,0,0,8,0,1,0,36,0,1,3,3,2,0,16,10,0,0,19,1,0,0,0,19,27,8,0,0,9,4,19,0,0,0,5,0,2,1,0,0,0,13,194,57.94,5.82,73.92,34.77,19.4,16.49,85.57,72.16,60.82,11.86,8.76,6.7,0.0,0.0,0.0,2.06,3.09,15.46,11.34,0.0,14.43,8.76,7.73,8.76,2.58,14.95,5.15,1.03,1.03,0.0,0.52,0.52,8.25,2.06,6.19,1.55,1.03,0.52,1.55,0.0,2.06,0.0,4.64,2.58,1.55,1.03,0.0,0.52,0.0,0.52,0.0,0.0,6.7,4.12,0.52,0.0,0.52,0.52,2.06,2.58,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,5.67,0.0,2.06,2.06,2.58,0.0,2.06,0.52,0.0,0.0,0.0,0.0,0.52,1.55,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,5.15,9.79,0.0,0.52,8.25,0.0,0.0,1.03,3.09,10.82,1.55,0.0,0.0,0.0,0.0,0.0,0.0,11.86,5.15,5.15,0.0,0.0,0.52,1.03,0
6,1,0,13,0,4,0,27,1,3,4,2,1,0,13,8,0,0,19,5,0,2,0,25,20,9,1,1,6,1,21,0,1,0,5,0,0,0,0,0,0,22,204,37.99,2.18,92.3,33.97,25.5,16.67,90.2,74.51,62.25,15.69,11.27,8.82,0.0,0.0,0.98,1.47,4.41,14.22,7.84,0.0,14.22,7.84,9.31,6.37,3.43,15.2,4.9,2.45,2.45,0.49,0.49,1.47,12.25,2.45,9.8,1.96,1.96,0.98,1.96,0.0,3.92,0.0,5.88,3.43,2.45,2.45,0.98,1.47,0.0,0.98,0.0,0.0,9.8,4.9,0.98,0.0,1.47,0.0,1.47,4.41,0.49,0.0,1.96,0.0,0.49,0.0,0.0,0.49,3.92,0.98,0.49,1.96,0.49,0.0,2.45,2.45,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.98,0.0,0.0,0.49,0.0,0.0,0.0,4.9,9.8,0.0,0.98,9.31,0.0,0.0,0.0,2.94,7.35,0.49,1.47,0.0,0.0,0.0,0.0,0.0,8.82,3.43,2.94,0.0,0.49,1.47,0.49,0
1,0,0,7,0,4,0,24,5,2,4,0,3,0,7,10,1,0,7,6,0,0,0,18,19,5,0,0,5,5,8,1,0,0,5,0,0,1,0,0,0,13,150,53.72,36.23,35.01,62.2,15.0,23.33,85.33,68.0,59.33,14.67,7.33,3.33,0.67,1.33,0.67,0.67,7.33,18.0,9.33,0.67,14.0,10.0,5.33,6.0,2.67,16.0,2.67,0.67,2.0,0.67,0.67,0.67,11.33,0.67,10.67,2.0,1.33,2.0,1.33,0.67,4.0,0.0,2.67,2.67,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.33,4.0,1.33,0.0,0.0,0.0,0.67,7.33,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,4.0,0.67,0.0,3.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,8.67,1.33,1.33,4.67,2.0,0.0,0.67,3.33,4.67,3.33,3.33,0.0,0.0,0.0,0.0,0.0,7.33,6.67,0.67,0.0,0.0,0.0,0.0,0
6,1,0,4,0,4,0,16,3,1,4,0,1,0,11,9,0,0,7,2,0,1,0,13,11,3,0,0,2,1,10,0,1,0,7,0,2,2,1,0,1,9,116,60.85,26.07,86.26,84.51,14.5,16.38,86.21,72.41,56.9,14.66,11.21,6.9,0.0,0.0,0.86,3.45,3.45,17.24,6.9,1.72,15.52,7.76,6.03,6.03,0.86,15.52,8.62,6.03,1.72,0.86,0.86,0.0,6.9,1.72,5.17,1.72,0.0,0.0,0.0,1.72,0.86,0.86,4.31,4.31,0.0,1.72,1.72,0.0,0.0,0.0,0.0,0.0,10.34,4.31,0.86,0.0,0.0,0.0,1.72,6.03,0.0,1.72,0.86,0.0,0.86,0.0,0.0,0.86,3.45,0.0,0.86,2.59,0.86,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,1.72,0.0,0.0,0.0,0.0,6.9,12.93,0.0,1.72,10.34,0.0,0.0,0.86,3.45,7.76,1.72,0.86,0.0,0.0,0.0,0.0,0.0,14.66,4.31,5.17,0.0,3.45,1.72,0.0,0
2,2,0,8,1,3,0,21,4,3,3,0,4,0,14,12,0,0,5,2,0,1,0,12,9,5,0,0,7,1,14,1,0,2,7,0,0,3,0,0,1,10,141,44.34,52.76,47.17,98.57,10.07,20.57,89.36,75.89,56.74,14.89,12.06,6.38,0.0,3.55,2.13,0.0,2.84,12.06,5.67,2.13,13.48,8.51,7.09,5.67,1.42,19.15,8.51,4.26,2.84,1.42,1.42,0.0,9.93,2.13,7.8,0.71,1.42,2.13,1.42,0.71,2.13,0.0,7.09,7.09,0.0,1.42,1.42,0.0,0.0,0.0,0.0,0.0,14.18,6.38,2.84,0.71,0.71,0.0,2.84,8.51,0.0,0.0,2.13,0.0,1.42,0.71,0.0,0.71,5.67,0.71,0.0,4.96,0.71,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.71,0.0,0.71,0.0,0.0,0.0,0.0,0.0,8.51,11.35,0.71,1.42,9.22,0.71,0.0,0.71,2.13,4.96,3.55,0.71,0.0,0.0,0.0,0.0,0.0,14.18,9.22,1.42,0.0,0.0,1.42,2.13,0
15,0,0,11,0,3,0,30,0,2,2,2,1,0,12,8,0,0,15,1,0,1,0,10,10,5,0,0,8,4,8,0,0,0,1,0,3,2,0,0,0,14,144,19.76,25.13,89.39,83.0,18.0,13.19,93.06,70.14,54.86,9.72,6.25,2.78,2.08,0.0,0.0,1.39,3.47,9.72,4.17,2.08,11.11,10.42,9.03,11.11,2.78,15.97,9.03,4.86,4.86,2.78,2.08,0.0,11.81,3.47,8.33,0.69,0.69,1.39,2.08,0.0,4.86,0.0,6.94,5.56,1.39,2.08,0.69,1.39,0.0,0.0,0.0,0.0,14.58,8.33,0.0,0.0,2.08,0.0,7.64,5.56,0.69,0.0,0.0,0.69,2.78,0.0,0.0,2.78,9.03,2.08,4.17,2.78,0.0,0.0,2.08,0.69,0.0,0.69,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,11.81,9.72,0.0,0.69,6.94,0.0,0.0,1.39,10.42,11.11,0.69,0.0,0.69,0.69,0.0,0.0,0.0,16.67,5.56,10.42,0.0,0.0,0.69,0.0,1
2,0,0,4,0,3,0,12,1,1,1,2,0,0,5,3,1,0,9,2,0,0,0,7,6,3,0,0,3,0,10,1,0,0,0,0,1,0,0,0,0,5,75,28.63,99.0,13.33,2.44,18.75,20.0,88.0,76.0,60.0,20.0,16.0,0.0,12.0,0.0,0.0,4.0,4.0,13.33,8.0,0.0,12.0,5.33,5.33,10.67,2.67,14.67,9.33,2.67,18.67,12.0,4.0,2.67,12.0,1.33,10.67,0.0,0.0,5.33,2.67,0.0,4.0,0.0,5.33,1.33,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67,6.67,1.33,2.67,0.0,0.0,1.33,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,1.33,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,1.33,0.0,0.0,1.33,0.0,5.33,9.33,1.33,1.33,6.67,0.0,0.0,0.0,5.33,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.67,4.0,2.67,0.0,0.0,2.67,1.33,1
